name,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Tom Ford Vanilla Sex 縱情香草淡香精,"香草、白色花香和檀香的琥珀香氣撲鼻而來。
FiFi Awards 2024 香水奧斯卡獎－年度奢華中性香水",東方調 、 辛辣調,印度香草蘭酊ORPURTM 、香草、檀木、茉莉、鳶尾草、動物香複方,,,https://www.1976.com.tw/prod/22325
Acca Kappa Mandarin & Green Tea 橙日光舞淡香精(柑橘綠茶),亞熱帶綠林中散發的橘橙果香，讓人一下就擁有好心情，加上淨麗的花卉、清新的綠茶香，如同陽光般的溫暖愉悅充滿著正能量。,茶香清新調 、 柑橘清新調,義大利佛手柑、香橙、葡萄柚、柑橘,玫瑰、綠茶,麝香,https://www.1976.com.tw/prod/15703
Karl Lagerfeld Bois de Santal 琥珀檀香木淡香水,檀香木被全面再詮釋。透過聖木的包覆，使其柔滑且圓潤，展現深邃木質香氣；搭配黑胡椒的辛香與琥珀的高雅，釋放出前所未有的層次與精緻感。,木質東方調 、 辛辣調,黑胡椒、鼠尾草、絲柏,檀香、聖木,東加豆、琥珀,https://www.1976.com.tw/prod/22718
Acqua Di Parma Mirto di Panarea 藍色地中海桃金孃加州桂 中性淡香水,這款中性水生氣息持香度約半天，前調很是清新，聞起來令人耳目一新，讓你有種在海邊度假的感覺，中後為柑橘帶點木質花香，像沐浴後的乾淨氣味，推薦大家春天夏天使用～,,桃金孃、羅勒、檸檬、佛手柑,海洋元素、茉莉、玫瑰、丁香、黑醋栗,瑪蹄脂、杜松、雪松、琥珀,https://www.1976.com.tw/prod/11055
Tom Ford Tobacco Vanille 午夜香草淡香精,帶有柴火般的菸草味道，辛辣而迷人,東方調 、 辛辣調,菸葉、辛香料,香草、可可、零陵香豆、菸草花,乾果、木香,https://www.1976.com.tw/prod/19079
L'Artisan Parfumeur Un Air de Bretagne 阿蒂仙之香 布列塔尼的空氣中性淡香精,像晴空萬里下在海邊穿著的溫暖海風，前味的檸檬柑橘捎呼即逝，很快的西瓜酮清爽的味道會與微苦的橙花交雜，後味綿綿不絕的是帶著鹹味的雪松木質調,木質清新調 、 海洋清新調,佛手柑、柑橘,西瓜酮、橙花,海藻、絲柏、龍涎香、雪松,https://www.1976.com.tw/prod/19557
Etat Libre d'Orange Sous le Pont Mirabeau 解放橘郡米拉波橋下中性淡香精,與其說這支是海洋調性，不如說是空氣調性～「海」的感覺 — 個人覺得不是最主要的表現，而是「空氣」— 前、中、後可以感受到純氧的味道持續存在，把沒辦法看見卻又真實存在的東西融合到香水裡面也毫無違和。,木質調 、 海洋清新調,香檸檬、粉紅胡椒、無花果葉、欖香,海洋調、臭氧元素、焚香、紫羅蘭,檀香、麝香、雪松、Orcanox,https://www.1976.com.tw/prod/21052
Karl Lagerfeld Bois de Santal 琥珀檀香木淡香水 TESTER,其淡淡的木質香，隱隱約約的飄出，給人一種安靜且沉穩的感覺，如果不是近距離的聞，很難察覺出來，但並不代表他的味道不持久，在近期連續下雨的日子，早上7點出門噴了一下在手上，到下午還是聞得到手上有股檀香味的存在。很適合沉穩、可靠的人。,木質東方調 、 辛辣調,黑胡椒、鼠尾草、絲柏,檀香、聖木,東加豆、琥珀,https://www.1976.com.tw/prod/22924
Maison Margiela On A Date 微醺之後中性淡香水(落日約會)迷你瓶,剛上身的味道會有點甜感，但中味開始會散發清爽怡人的玫瑰香，然後維持著舒服自然的香氣，很氣質，好駕馭又襯托溫婉氣質的香味。,廣藿香、香根草、苔蘚香調、麝香,黑加侖酒香、佛手柑、粉紅胡椒,伊斯帕塔玫瑰、天竺葵、印蒿,,https://www.1976.com.tw/prod/22109
Diptyque Vetyverio 維堤里歐中性淡香水,淡淡的柑橘果感氣息後帶出微微草香，非常清新的開頭，很快就被微微的花香襯著木質麝香淹沒，花香襯著木質設香的氣息有一種非常清新乾淨的皂感，非常清新飄逸，很活潑輕快的感受，非常適合春夏的各種場合，男女都很適用，秋冬就會顯得過於單薄，是一支很有親和力的中性香。,木質花香調 、 柑橘調,佛手柑、葡萄柚、檸檬、柑橘,天竺葵、依蘭、玫瑰、胡蘿蔔籽、肉荳蔻、丁香,香根草、麝香、雪松,https://www.1976.com.tw/prod/16600
Tom Ford Cherry Smoke 煙燻櫻桃淡香精,一開始是濃得化不開的黑櫻桃香，在層層煙燻氣環繞中，不急不徐的，緩緩開出花香，像品嚐一杯精品咖啡，一口口細細品味，每個瞬間，都會帶你到達不同的地方，是一瓶充滿魔幻力量的多層次堆疊香，大推！,煙燻、木質香調,黑櫻桃、藏紅花,皮革、橄欖、桂花、杏子,,https://www.1976.com.tw/prod/22088
Tom Ford Electric Cherry 電光櫻桃淡香精,Electric Cherry 電光櫻桃淡香精，以精緻的黑櫻桃香氣開頭，並伴隨著令人振奮的生薑融為一體，而濃郁的沙巴茉莉則散發出迷人的香氣。琥珀內酯帶來誘人的麝香香味，釋放出與辛辣的粉紅胡椒混合的溫暖氣息。,花果甜美調,黑櫻桃、薑,茉莉,麝香、粉紅胡椒、琥珀,https://www.1976.com.tw/prod/22247
Maison Margiela Afternoon Delight 閒情午後淡香水,Afternoon Delight 閒情午後淡香水，捕捉自我放縱的時刻，將您帶到巴黎咖啡館，空氣中瀰漫著溫暖的瑪德蓮蛋糕的清香。,誘人美食調,杏仁、白芷根,瑪德蓮蛋糕、胡蘿蔔、黃葵,香草、麝香、檀香,https://www.1976.com.tw/prod/22509
