name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
YSL Y Le Parfum 男性香精 (2025),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7828549146652222,0.0,0.0,3.9114274978637695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.016192436218262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.779895305633545,0.0,23.58879852294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.133671760559082,0.0,5.852262496948242,0.0,0.0,0.0,0.0,0.0,1.8246535062789917,0.0,4.747400283813477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.265418767929077,8.561589241027832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.326212406158447,0.0,6.062688827514648,0.0,0.0,0.0,0.0,0.0,5.70088529586792,0.0,11.216156959533691,0.0,0.0,5.138911724090576,0.0,0.0,0.0,0.0,0.0,0.0
Issey Miyake 三宅一生一生之水男性淡香水行动香氛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5693424940109253,2.9899182319641113,0.0,0.0,0.0,7.067768573760986,5.289777755737305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7148436307907104,0.0,0.0,11.087279319763184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.498230934143066,0.0,0.0,0.0,6.123275279998779,0.0,0.0,7.520420074462891,0.0,0.0,0.0,0.0,0.0,0.0,1.3564151525497437,0.0,0.0,3.0490992069244385,0.0,0.0,0.0,4.154394626617432,0.0,0.0,0.0,5.472536087036133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84205561876297,0.0,6.72345495223999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7066621780395508,0.0,0.0,0.0,0.2033674120903015,13.0227689743042,0.0,0.0,0.0,0.0,0.0,0.0,7.317399501800537,0.0,0.0,1.2941950559616089,0.0,0.0,0.0,0.0,0.0,0.0
Michael Kors 经典男性淡香精,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0750319957733154,2.279789924621582,0.0,0.0,0.0,9.250539779663086,0.24762532114982605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.139398574829102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.560773849487305,0.0,0.0,0.0,7.67839241027832,0.0,0.0,3.9739108085632324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.987194538116455,0.0,0.0,0.0,7.017847061157227,0.0,0.0,0.1257060319185257,5.423926830291748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.093273639678955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0069377422332764,0.0,0.0,0.0,4.027060031890869,5.910159587860107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Penhaligon's Finley 潘海利根兽首肖像系列 不期而遇的芬利（马首）淡香精,0.0,0.0,0.0,0.573931872844696,0.0,0.0,0.0,0.0,0.0,1.8754738569259644,1.9782299995422363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4590935707092285,6.273674488067627,9.69781494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3494657874107361,0.0,0.0,0.0,4.923333644866943,0.0,0.0,4.005544662475586,4.941681861877441,0.0,0.0,2.0620720386505127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.280708074569702,0.0,3.6770894527435303,0.0,0.0,0.0,0.0,2.167433977127075,0.0,0.0,0.0,0.08554616570472717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1894797086715698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marly Pegasus 皮葛舒斯(飞马)男性淡香精行动香氛,0.0,0.0,0.08340433239936829,0.0,0.0,0.0,4.6301655769348145,0.0,4.032663345336914,0.08454935252666473,0.0,0.0,0.0,1.5666265487670898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1259381771087646,0.0,0.0,0.0,0.0,0.3234061598777771,0.0,0.0,0.0,0.0,2.7187070846557617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0730316638946533,0.0,0.0017918385565280914,1.5002152919769287,6.615839958190918,0.0,0.0,11.052382469177246,2.659090518951416,0.0,0.0,0.0,0.0,0.0,1.5319452285766602,4.470494270324707,0.0,0.0,1.009531021118164,0.0,1.1668566465377808,0.0,0.0,4.654393672943115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.984516143798828,0.0,0.0,0.0,6.6566481590271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3159492015838623,0.0,0.0,0.0,0.0,0.0
John Varvatos Artisan Forest 工匠森林淡香精,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.928379774093628,6.01261043548584,0.0,0.0,0.0,10.036334991455078,4.64875602722168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.846821308135986,0.0,0.0,15.715921401977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8787238001823425,0.0,0.0,14.143302917480469,0.0,0.0,0.0,1.977423071861267,0.0,0.0,8.522216796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.589365243911743,0.0,0.0,0.0,7.561541557312012,0.0,0.0,0.0,10.881168365478516,0.0,0.0,0.0,0.0,0.03164289891719818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.878420352935791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.882589340209961,6.4088826179504395,0.0,0.0,0.0,12.752260208129883,0.0,0.0,0.0,0.0,0.0,0.0,17.237573623657227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giorgio Armani Acqua di Gio 亚曼尼寄情水男性淡香水迷你瓶,0.0,0.0,3.6165711879730225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6752052307128906,0.9490629434585571,0.0,0.0,0.0,0.0,2.936915636062622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.163429260253906,0.0,0.0,0.0,0.0,0.0,0.14039790630340576,0.0,0.0,2.887704610824585,0.0,0.0,0.0,0.0,6.248915195465088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.765825033187866,0.0,0.0,1.8759245872497559,0.0,0.0,0.0,6.369800090789795,0.0,0.0,0.0,0.0,0.0,0.0,1.1116464138031006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.058575391769409,9.65266227722168,0.0,0.0,2.4469189643859863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9040818214416504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.954472541809082,0.7762984037399292,0.0,0.0,6.499079704284668,9.416318893432617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paco Rabanne Invictus parfume 勇者男性香精迷你瓶迷你瓶,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135249376296997,0.0,0.0,0.5097590684890747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761599063873291,0.0,0.0,0.0,0.0,0.0,0.0,1.6206567287445068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9908037185668945,0.0,0.0,19.747770309448242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61632776260376,0.0,0.8692662715911865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.130712032318115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.836907386779785,4.038242816925049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7709412574768066,0.0,4.854287624359131,0.0,0.0,0.0,0.0,0.0,0.6573112607002258,0.0,5.58656644821167,0.0,0.0,4.080315589904785,0.0,0.0,0.0,0.0,0.0,0.0
Dolce & Gabbana Devotion 挚爱男性淡香精迷你瓶,0.0,3.817478656768799,0.0,0.0,0.0,0.0,0.0,0.0,7.159639835357666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.953975677490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9898532629013062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.747229814529419,17.705020904541016,0.0,10.979653358459473,0.0,0.0,0.0,0.0,5.8017354011535645,13.261411666870117,0.0,0.0,2.2299907207489014,0.0,0.0,0.0,0.0,0.0,0.0,4.347665786743164,4.431236743927002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4254438877105713,0.0,0.0,0.0,5.038939952850342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.790431022644043,0.0,22.67244529724121,0.0,0.0,0.0,0.0,0.0,6.529174327850342,6.777676582336426,0.0,0.0,0.0,4.711764335632324,0.0,0.0,0.0,13.832440376281738,0.09470771253108978,12.357549667358398,0.0,0.0
Viktor & Rolf Spicebomb 激情炸弹男性淡香水迷你瓶,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63944673538208,0.0,6.027796745300293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.958831787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1693241596221924,0.0,23.086214065551758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.892800331115723,0.0,0.0,6.032406806945801,0.0,0.0,5.264952182769775,0.0,2.2311439514160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1288847923278809,0.0,1.0421998500823975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4250715970993042,12.455742835998535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.595734596252441,0.0,6.99021577835083,0.0,0.0,0.0,0.0,0.0,10.953962326049805,0.0,1.85150945186615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
