ID,brand,name_cn,name_fr,year,score,top_note,middle_note,base_note,note
556190,香奈儿,邂逅活力（橙邂逅）香发喷雾,Chanel Chance Eau Vive Hair Mist,0000,8.4,,,,葡萄柚 血橙 鸢尾花 雪松 茉莉
576940,香奈儿,珍藏系列-22号淡香水,Chanel Les Exclusifs de Chanel N°22 EDT,2007,,醛 橙花油 铃兰,依兰 茉莉 玫瑰,香草 香根草,
649054,香奈儿,自我浓缩古龙水,Chanel Egoiste Cologne Concentree,1992,8.5,,,,檀香木 肉桂 辛香料 黑檀红木 香草 木质 皮革
512375,香奈儿,邂逅（黄邂逅）香发喷雾,Chanel Chance Hair Mist,0000,7.2,,,,广藿香 茉莉 粉红胡椒 琥珀
694102,香奈儿,可可小姐清新喷雾,Chanel Coco Mademoiselle L'Eau,2021,,橙子 香柠檬,玫瑰 茉莉,麝香,
566873,香奈儿,可可小姐精粹版,Chanel Coco Mademoiselle L’Extrait,2012,8.9,橙子 香柠檬,玫瑰 茉莉 鸢尾花,广藿香 麝香 香根草 香草,
134308,香奈儿,可可小姐香发喷雾,Chanel Coco Mademoiselle Hair Mist,2023,9,橙子,茉莉 玫瑰,广藿香 香根草,
873057,香奈儿,珍藏系列-米色时尚香精,Chanel Les Exclusifs de Chanel Beige Parfum,2014,,,,,小苍兰 鸡蛋花 蜂蜜 山楂
459177,香奈儿,蔚蓝香氛喷雾,Chanel Bleu de Chanel All-Over Spray,2021,7.3,葡萄柚 薄荷 柠檬 粉红胡椒,生姜 茉莉 龙涎酮 肉豆蔻,麝香 劳丹脂 焚香 广藿香 雪松 檀香木 香根草,
272703,香奈儿,魅力女士清新之水夏季版,Chanel Allure Eau Fraichissante Pour l'Ete,2002,,香柠檬 醛 葡萄柚 橘子 血橙,木兰 茉莉 睡莲 忍冬 玫瑰,香草 香根草,
280594,香奈儿,5号淡香水100周年纪念限量版,Chanel N°5 L'Eau Eau De Toilette 100th Anniversary – Ask For The Moon Limited Edition,2021,,柠檬 醛 青柠 香柠檬 橙花油 橘子 橙子,依兰 茉莉 玫瑰,麝香 鸢尾根 雪松 香草,
256969,香奈儿,魅力男士清新之水夏季版,Chanel Allure Homme Eau Fraichissante Pour l'Ete,2002,,醛 橙子 香柠檬 橘子,香根草 雪松,零陵香豆 粉红胡椒 劳丹脂,
303963,香奈儿,魅力男士运动超轻版,Chanel Allure Homme Sport Superleggera,2024,6,橘子 柑橘,木质 雪松,麝香 广藿香 檀香木,
238369,香奈儿,梧桐影木,Chanel Sycomore,1930,7.7,香柠檬 橙花油,忍冬 茉莉 玫瑰 依兰,雪松 麝香 檀香木 烟草 紫罗兰,
126901,香奈儿,珍藏系列-自由旅程香精,Chanel Les Exclusifs de Chanel Jersey Parfum,2014,,,,,薰衣草 香草 麝香 零陵香豆 野花 玫瑰 青草 茉莉
225872,香奈儿,5号香精圣诞限量版,Chanel N°5 Parfum Red Edition,2018,,醛 橙花油,茉莉 玫瑰,木质,
960656,香奈儿,珍藏系列-一九三二香精,Chanel Les Exclusifs de Chanel 1932 Parfum,2014,,香柠檬 醛 橙花油,茉莉 玫瑰 紫丁香 依兰 康乃馨,鸢尾根 香根草 黄葵 红没药 麝香 香草 檀香木 焚香 香豆素,
248060,香奈儿,可可小姐黑色发雾,Chanel Coco Noir Hair Mist,2018,,葡萄柚,天竺葵 玫瑰 茉莉,广藿香 零陵香豆 香草 麝香,
415495,香奈儿,5号之水,Chanel N°5 Collection,2021,,,,,
407046,香奈儿,5号淡香精限量版,Chanel N°5 Eau de Parfum Limited Edition,2024,,醛 依兰 橙花油 桃子 香柠檬,茉莉 鸢尾花 铃兰 玫瑰,橡木苔 香草 檀香木 广藿香 香根草,
