ID,brand,name_cn,name_fr,year,top_note,middle_note,base_note,note
305753,香奈儿,珍藏系列-俄罗斯皮革,Chanel Les Exclusifs de Chanel Cuir de Russie,2007,橙花 香柠檬 橘子,依兰 茉莉 玫瑰 东方香料,皮革 桦木 烟草 麝香,
634944,香奈儿,白金,Chanel Egoiste Platinum,1993,薰衣草 迷迭香 橙花油 苦橙叶,天竺葵 快乐鼠尾草 白松香 茉莉,橡木苔 香根草 雪松 檀香木 琥珀,
182443,香奈儿,珍藏系列-22号淡香精,Chanel Les Exclusifs de Chanel N°22 EDP,2016,醛 橙花油 铃兰,依兰 茉莉 玫瑰 晚香玉,香草 香根草,
304577,香奈儿,邂逅柔情（粉邂逅）淡香精,Chanel Chance Eau Tendre Eau de Parfum,2019,木梨 葡萄柚,玫瑰 茉莉,麝香,
571804,香奈儿,5号低调奢华版,Chanel N°5 Eau Premiere,2008,醛 依兰 橙花油,茉莉 玫瑰,香草 檀香木 香根草,
908893,香奈儿,男孩,Chanel Boy Chanel,2016,薰衣草 葡萄柚 柠檬,天竺葵 橙花 玫瑰,麝香 天芥菜 檀香木 香草 橡木苔 香豆素,
850007,香奈儿,珍藏系列-岛屿森林淡香精,Chanel Bois des Iles Eau de Parfum,2016,香柠檬 橘子,檀香木 依兰,树脂 木质 香草 零陵香豆,
748752,香奈儿,之水系列,巴黎-里维埃拉 Chanel Paris – Riviera,2019,柑橘 花香 橙子,橙花油 茉莉,安息香脂 檀香木,
894558,香奈儿,珍藏系列-栀子花淡香精1925版,Chanel Gardénia,1925,橙花 绿叶,栀子花 晚香玉 茉莉 果香,椰子 香草 麝香 檀香木 香根草 广藿香,
798781,香奈儿,白色魅力（白色时尚）男士,Chanel Allure Homme Edition Blanche,2008,,,,柠檬 香草 香柠檬 粉红胡椒 檀香木 零陵香豆 香根草 麝香 琥珀 雪松
828975,香奈儿,邂逅（黄邂逅）淡香精,Chanel Chance Eau de Parfum,2005,粉红胡椒,茉莉 鸢尾花,广藿香 麝香 香草,
966690,香奈儿,邂逅活力（橙邂逅）,Chanel Chance Eau Vive,2015,血橙 葡萄柚 柑橘,茉莉 麝香,香根草 雪松 鸢尾花,
118728,香奈儿,珍藏系列-米色时尚淡香水,Chanel Les Exclusifs de Chanel Beige,2008,,,,鸡蛋花 小苍兰 蜂蜜 山楂
225286,香奈儿,魅力男士,Chanel Allure Homme,1999,柠檬 桃子 生姜 橘子 薰衣草 香柠檬,胡椒 雪松 广藿香 香根草 巴西红木 玫瑰 茉莉 栀子花 茴芹 小苍兰,香草 零陵香豆 椰子 檀香木 琥珀 安息香脂 麝香 皮革 橡木苔,
119274,香奈儿,珍藏系列-康朋街三十一号淡香精,Chanel 31 Rue Cambon Eau de Parfum,2016,胡椒 香柠檬 绿叶,鸢尾花 依兰 玫瑰,广藿香 劳丹脂 木质,
867159,香奈儿,珍藏系列-一九三二,Chanel Les Exclusifs de Chanel 1932,2013,醛 橙花油 香柠檬,茉莉 紫丁香 依兰 玫瑰 康乃馨,鸢尾根 麝香 黄葵 香根草 檀香木 红没药 香草 香豆素 焚香,
693288,香奈儿,珍藏系列-法式别墅28号,Chanel Les Exclusifs de Chanel 28 La Pausa,2007,,,,鸢尾根 皮革 玫瑰
805376,香奈儿,水晶恋绿意淡香水,Chanel Cristalle Eau Verte,2009,柠檬 香柠檬,橙花油 木兰,茉莉 鸢尾花 麝香,
769731,香奈儿,19号淡雅倾心版,Chanel N°19 Poudre,2011,白松香 橙花油 橘子,鸢尾花 茉莉,香根草 麝香 零陵香豆,
613920,香奈儿,可可女士淡香水,Chanel Coco Eau de Toilette,0000,玫瑰 桃子 芫荽 橘子 茉莉,公丁香 玫瑰 含羞草 橙花 三叶草,檀香木 红没药 琥珀 麝猫香 香草 零陵香豆 劳丹脂,
786662,香奈儿,俄罗斯皮革,Chanel Les Exclusifs de Chanel Cuir de Russie,1924,快乐鼠尾草 橙花 香柠檬 柠檬 橘子,鸢尾花 依兰 康乃馨 香根草 茉莉 玫瑰 雪松,皮革 桦木 烟草 麝香 琥珀 天芥菜 香草,
602849,香奈儿,魅力,Chanel Allure,1996,柠檬 橘子 百香果 桃子 香柠檬,忍冬 茉莉 木兰 小苍兰 睡莲 橙花 牡丹 玫瑰,香草 檀香木 琥珀 香根草 广藿香,
631255,香奈儿,珍藏系列-绿色气息,Chanel Les Exclusifs de Chanel Bel Respiro,2007,,,,绿叶 青草 皮革 花香
767248,香奈儿,珍藏系列-自由旅程淡香水,Chanel Les Exclusifs de Chanel Jersey EDT,2011,,,,薰衣草 香草 麝香 零陵香豆 野花 青草 玫瑰 茉莉
457231,香奈儿,5号低调奢华2015版,Chanel N°5 Eau Premiere,2015,醛 依兰 橙花油,茉莉 玫瑰,香草 檀香木 香根草,
773405,香奈儿,珍藏系列-彗星,Chanel Les Exclusifs de Chanel Comète,2024,樱花 醛,鸢尾花 天芥菜,麝香,
714586,香奈儿,可可小姐清新之水,Chanel Coco Mademoiselle L'Eau Privée,2020,橘子,玫瑰 茉莉,麝香,
441085,香奈儿,魅力淡香精,Chanel Allure Eau de Parfum,1999,,,,桃子 香草 橘子 茉莉 香柠檬 木兰 雪松 橙花 香根草 玫瑰 牡丹 莲花
716433,香奈儿,魅力男士运动古龙水,Chanel Allure Homme Sport Cologne,2007,柠檬 香柠檬 橙子 葡萄柚 橘子 醛 橙花油,冷杉 辛香料 榄香脂,麝香 胡椒 雪松 香根草 零陵香豆,
322624,香奈儿,1号红色之水,Chanel N°1 de Chanel L'Eau Rouge,2022,红浆果 柑橘,玫瑰 茉莉 橙花,麝香 鸢尾花,
950122,香奈儿,5号之水圣诞限量版,Chanel N°5 L'Eau Red Edition,2018,醛 柠檬 橙子 橙花油 香柠檬 青柠 橘子,依兰 茉莉 玫瑰,鸢尾根 香草 雪松 麝香,
881378,香奈儿,感性魅力,Chanel Allure Sensuelle,2005,广藿香 粉红胡椒 桃子 橘子 香柠檬,玫瑰 玫瑰 鸢尾花 茉莉 干果,广藿香 香草 辛香料 檀香木 香根草 劳丹脂 薰衣草 琥珀,
273086,香奈儿,邂逅梦幻,Chanel Chance Eau Splendide,2025,树莓 玫瑰 紫罗兰,天竺葵 玫瑰 薄荷,鸢尾花 雪松 麝香,
814668,香奈儿,魅力极限运动,Chanel Allure Homme Sport Eau Extreme,2012,橘子 薄荷 柏树 鼠尾草,胡椒,零陵香豆 麝香 檀香木 雪松,
931343,香奈儿,水晶恋淡香精,Chanel Cristalle Eau de Parfum,1993,橘子,香瓜 茉莉 桃子 依兰,橡木苔 香根草,
187218,香奈儿,珍藏系列-22号香精版,Chanel N°22,1922,醛 橙花油 百合 晚香玉 铃兰 橙花,依兰 茉莉 玫瑰 肉豆蔻,鸢尾花 香草 香根草,
995290,香奈儿,珍藏系列-米西亚,Chanel Les Exclusifs de Chanel Misia,2015,醛 荔枝,玫瑰 玫瑰 树莓 桃子,紫罗兰 脂粉味 鸢尾花 鸢尾根 零陵香豆 含羞草 安息香脂 香草,
659582,香奈儿,珍藏系列-一九三二淡香精,Chanel 1932 Eau de Parfum,2016,梨 醛 葡萄柚,鸢尾花 花香 茉莉,麝香 香根草 香草 木质 焚香,
195988,香奈儿,珍藏系列-栀子花淡香精,Chanel Gardenia Eau de Parfum,2016,绿叶,栀子花 果香 椰子,香草,
463781,香奈儿,珍藏系列-18号,Chanel Les Exclusifs de Chanel N°18,1997,,,,黄葵 鸢尾花 果香 木质 花香
216503,香奈儿,5号古龙水,Chanel N°5 Eau de Cologne,1924,醛 依兰 橙花 香柠檬 柠檬,鸢尾花 茉莉 玫瑰 鸢尾根 铃兰,麝猫香 麝香 琥珀 香根草 广藿香 檀香木 橡木苔 香草,
719295,香奈儿,嘉柏丽尔之水,Chanel Gabrielle L'Eau,2024,红浆果 绿叶,橙花 依兰 晚香玉 茉莉,麝香 檀香木,
491642,香奈儿,邂逅清新（绿邂逅）淡香精,Chanel Chance Eau Fraiche Eau de Parfum,2023,香橼 醛,茉莉,柚木 琥珀,
770581,香奈儿,可可小姐香精版,Chanel Coco Mademoiselle Parfum,0000,香柠檬 橙子 葡萄柚,玫瑰 荔枝 茉莉,广藿香 香草 麝香 香根草,
274632,香奈儿,珍藏系列-自由旅程淡香精,Chanel Jersey Eau de Parfum,2016,,,,薰衣草 麝香 香草 零陵香豆 野花 青草 茉莉 玫瑰
180993,香奈儿,可可女士香精版,Chanel Coco Parfum,0000,玫瑰 芫荽 桃子 茉莉 橘子,玫瑰 公丁香 含羞草 橙花 三叶草,琥珀 红没药 麝猫香 檀香木 劳丹脂 香草 零陵香豆,
929381,香奈儿,白色魅力淡香精,Chanel Allure Homme Edition Blanche Eau de Parfum,2014,柠檬 香柠檬,檀香木 木质,香草 香根草,
481154,香奈儿,珍藏系列-米色时尚淡香精,Chanel Beige Eau de Parfum,2016,,,,鸡蛋花 蜂蜜 小苍兰 山楂
775241,香奈儿,嘉柏丽尔发雾,Chanel Gabrielle Chanel Hair Mist,2019,葡萄柚 橘子 黑加仑,橙花 茉莉 晚香玉 梨 铃兰 粉红胡椒 依兰,麝香 开司米酮 檀香木 鸢尾根,
