name,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Issey Miyake A Drop d'Issey Fraiche 三宅一生雨珠淡香精,高度還原了晨露的味道中，隱約帶了新生玫瑰的香氣，雖然沒有我期待的模擬潮溼感，但雪松和白麝香調和的很好，討好度高，非常親民，也很適合香水小白初嚐的目標,水生花香調,雨水﹑紫丁香,大馬士革玫瑰,雪松﹑檀香﹑白麝香,https://www.1976.com.tw/prod/20713
Issey Miyake A Drop d'Issey Fraiche 三宅一生雨珠淡香精 TESTER,高度還原了晨露的味道中，隱約帶了新生玫瑰的香氣，雖然沒有我期待的模擬潮溼感，但雪松和白麝香調和的很好，討好度高，非常親民，也很適合香水小白初嚐的目標,水生花香調,雨水﹑紫丁香,大馬士革玫瑰,雪松﹑檀香﹑白麝香,https://www.1976.com.tw/prod/20830
Anna Sui Fantasia Mermaid 童話美人魚女性淡香水迷你瓶,"我想一開始都被這個瓶身吸引住了吧!?
這支香水不只是這樣而已喔!
穿上後香味有點迷幻，感覺有進入童話故事一般，
彷彿是穿上了最美的禮服，跳著華爾滋一樣，喜歡甜香的女孩大推。",東方花果調,血橙、柑橘、小荳蔻,茉莉、牡丹、荔枝,金色木香、香草、蜂蜜,https://www.1976.com.tw/prod/16957
Givenchy L'interdit 紀梵希 禁忌女性淡香精迷你瓶,不是羅馬假期的赫本，而是第凡內早餐的赫本。自信優雅，神秘魅惑，氣場強大。真的很難不被吸引，這或許就是女神的魅力吧！,花香調,佛手柑、西洋梨,橙花、森巴茉莉、夜來香,香根草、廣藿香、降龍涎香醚、香草,https://www.1976.com.tw/prod/21486
Dior Forever & Ever 迪奧情繫永恆女性淡香水,這瓶迪奧經典之作香氣微甜、低調沈穩、內斂高雅、耐人尋味。穿上它，彷彿置身在涼風吹拂的花海之中，享受大自然的芳香。,玫瑰花香調,鳶尾花,水茉莉,保加利亞玫瑰,https://www.1976.com.tw/prod/7197
Narciso Rodriguez Musc Noir 深情繆思女性淡香精,開頭好粉好甜嚇到我了，但很快的就轉成溫柔沉穩中後調。彷彿位樣貌柔美的輕熟女性，在工作上是聰明幹練不容忽視的職場菁英。反差萌阿~,花果甜美調 、 皮革香調,李子,白麝香 、香水草花,絨面皮革香,https://www.1976.com.tw/prod/18754
Narciso Rodriguez Musc Noir 深情繆思女性淡香精 TESTER,身為Narciso Rodriguez 腦粉，一推出新品必需入手，跟之前的純粹繆思截然不同。給人的整體感覺完全不一樣，真的詮釋的很到位。,花果甜美調 、 皮革香調,李子,白麝香 、香水草花,絨面皮革香,https://www.1976.com.tw/prod/18764
Anna Sui Secret Wish 安娜蘇許願精靈女性淡香水,ANNA SUI一直擅長操縱甜美氣味的香水，而且一瓶比一瓶還精緻漂亮。許願精靈界在清新與甜美之間，有瓜果新鮮的味道，有鳳梨與檸檬的熱情大方，最後麝香也持香久，是相當好聞、適合春夏、接受度高的香水~,花果清新調,檸檬、哈密瓜、金盞花,鳳梨、黑醋栗,琥珀、白雪松、白麝香,https://www.1976.com.tw/prod/2480
Issey Miyake A Drop d'Issey Essentielle 晨霧淡香精,剛噴上似一股早晨庭院清新的馥郁花果香揉合草香，像一位清新純潔的少女，到中調時花香味更明顯，轉成優雅溫婉的淑女感，後味則是淡淡的丁香、玉蘭香氣配上收尾的麝香，一種奶香奶香的溫柔氣味，非常喜歡這支香水，很適合剛入門香水的社會新鮮人，這支不管上班約會都很適合，推薦給喜歡清新花草香調的女孩。,碎葉香調,,丁香、玉蘭花,麝香,https://www.1976.com.tw/prod/20963
Elizabeth Arden White Tea Lilac 雅頓白茶紫鳶尾女性淡香水,早已聽說雅頓白茶非常好聞，直到自己入手後，才瞭解這款香水真的如他人分享的那般氣質優雅，新推出的雅頓白茶紫鳶尾女性淡香水，最溫柔、最甜美、最純淨的紫丁香、紫鳶尾花、紫藤花，清新雅淡而脫俗。,花香調,柑橘、白茶、茉莉,紫鳶尾花、紫藤花、紫丁香,白木、零陵香豆、麝香,https://www.1976.com.tw/prod/22974
Coach Floral 芙洛麗女性淡香精,柑橘和鳳梨替這支香水開啟了序幕，使它帶著熱帶風情。接著玫瑰茶的香味和茉莉交織在一起，讓它多了幾分婉約優雅。整體來說是甜美溫柔的一款~四季都適合使用喔。,花果甜美調,柑橘、鳳梨,茶香玫瑰、雙瓣茉莉、梔子花,水晶麝香、奶油木、廣藿香,https://www.1976.com.tw/prod/15833
YSL Mon Paris 慾望巴黎女性淡香精,真的是很迷人...果香氣十足，超級juicy，卻不膩...俏皮不失優雅，貴氣十足的一款好香精！,柑苔調 、 花果甜美調,佛手柑、覆盆子、草莓、西洋梨,柑苔調、曼陀羅花、牡丹、茉莉,麝香、曼陀羅花、廣藿香,https://www.1976.com.tw/prod/15058
Anna Sui Secret Wish 安娜蘇許願精靈女性淡香水 TESTER,這瓶是我高中時期同學推薦給我的。許願精靈這名字跟瓶身的樣子真是符合！這瓶的香味宜人～聞起來是很舒服的味道！年輕有活力，非常適合學生使用～約會也很適合唷！,花果清新調,檸檬、哈密瓜、金盞花,鳳梨、黑醋栗,琥珀、白雪松、白麝香,https://www.1976.com.tw/prod/3241
Coach Floral 芙洛麗女性淡香精 TESTER,"聞到這款香水的味道，我彷彿看到一個活潑洋溢的小女孩在燦烈陽光下歡笑著，

是的，這款香水的味道偏甜，像果糖、像水果、像某種酸酸甜甜的糖果，讓人聞了不禁莞爾一笑，尤其是喜愛甜味的香水的人，都會加購這瓶香水當收藏品。

花香帶果香，很適合學生族群，或剛出社會的小資女，或喜歡甜味香水的女性，

不論跟姐妹淘逛街喝下午茶，跟男友看電影約會，或上課考試，都很適合噴上這款香水。",花果甜美調,柑橘、鳳梨,茶香玫瑰、雙瓣茉莉、梔子花,水晶麝香、奶油木、廣藿香,https://www.1976.com.tw/prod/16177
Jo Malone 杏桃花與蜂蜜香水-Nectarine Blossom & Honey,噴上去你就是人間水蜜桃～相當還原水蜜桃清新又甜蜜的香氣，但可能因為加了蜂蜜的關係，幾個小時後會覺得有點太暖（一種桃子有點過熟的感覺），因此比較推薦本身體溫較低或不常流汗的女生來使用。,草香清新調 、 花果甜美調,黑醋栗,相思花蜜,蜜桃,https://www.1976.com.tw/prod/17487
Prada Candy 淘心女郎女性淡香精,這就是焦糖爆米花的味道啊！既有個性，又甜美而溫暖，而且不甜膩。就像在冷冷的冬天裡，坐在沙發上蓋著毛毯，吃著爆米花看電影~,誘人美食調 、 花果甜美調,焦糖,白麝香雞尾酒,寮國安息香,https://www.1976.com.tw/prod/9083
Dior Diorissimo 迪奧茉莉花女性淡香水,這款香氛非常的獨特，是線性的優雅，突出的鈴蘭嶼茉莉花香，讓女性充滿知性美，優雅理性。是有年紀的女性才有的氣質香味。安靜 、通曉世事。,花香調,伊蘭伊蘭、 鈴蘭,孤挺花、 宮人草,茉莉,https://www.1976.com.tw/prod/2592
Narciso Rodriguez Fleur Musc 桃色優雅女性淡香精,這品牌的經典款桃色優雅，令人印象深刻的是暖暖的木質感玫瑰花香，適合沈穩女性工作場合使用的辦公香，安全且不雷,玫瑰花香調 、 木質花香調,粉紅胡椒,玫瑰、牡丹、麝香,廣藿香、琥珀、紫蘿蘭花,https://www.1976.com.tw/prod/15097
Chanel Chance Eau Splendide 香奈兒紫色霓幻女性淡香精,這瓶真的是我的本命香！Chanel 的香水一直給人一種很跳躍的感覺，每次噴都會被身旁友人問是哪瓶香水！噴上這瓶回頭率upup!!,玫瑰花香調 、 花果甜美調,紅色莓果、覆盆子、玫瑰、紫羅蘭、桃子,玫瑰天竺葵、鳶尾花,白麝香、雪松,https://www.1976.com.tw/prod/22559
YSL MON PARIS 聖羅蘭慾望巴黎女性淡香精 TESTER,曾經被男性友人誇讚很有質感的香甜味，適合年紀輕的女孩也適合輕熟女，是我最愛的一瓶香水,柑苔調 、 花果甜美調,佛手柑、覆盆子、草莓、西洋梨,柑苔調、曼陀羅花、牡丹、茉莉,麝香、曼陀羅花、廣藿香,https://www.1976.com.tw/prod/17932
Coach Floral 芙洛麗女性淡香精迷你瓶,很好聞的花香，喜歡都花香的朋友可選這瓶，但味道不會覺得是成熟的，經典的coash吊牌設計很適合收藏，味道很時尚不俗氣，很推薦,花果甜美調,柑橘、鳳梨,茶香玫瑰、雙瓣茉莉、梔子花,水晶麝香、奶油木、廣藿香,https://www.1976.com.tw/prod/15848
Elizabeth Arden Green Tea 雅頓綠茶中性淡香水,味道清新的綠茶味，味道沒有很濃厚留香時間沒有到很長，可以試著跟其他花香調的香水做疊香，我是常常把這支混著海洋調的香水做使用，或是睡前噴在床被上。,茶香清新調,大黃、佛手柑、葛縛子、橙皮、檸檬,茉莉、茴香、康乃馨、綠茶、薄荷,白琥珀、樺樹苔、麝香,https://www.1976.com.tw/prod/2625
Givenchy L'Interdit ROUGE 紀梵希紅色禁忌女性淡香精,"一朵充滿辛辣紅色氣息的肉慾花朵。
紀梵希 (Givenchy) 以全新女士香水—L'Interdit Rouge 紅色禁忌點燃迷戀之火。抑制燃燒以揭示對感官的痴迷。",木質花香調 、 東方花香調 、 辛辣調,紅色香料、血橙、生薑,橙花、晚香玉、茉莉、多香果葉,檀香木、廣藿香、香根草,https://www.1976.com.tw/prod/20574
Tous Touch 金色小熊女性淡香水,充滿手作感的瓶身設計，讓人拿在手上就有溫潤的觸感。甜暖的蜜香，真的是熊熊的最愛耶。,花香調 、 誘人美食調,百合、香雪蘭、荷花香,阿拉伯茉莉、桂花、大溪地梔子花,覆盆子、杏仁、蜂蜜、香子蘭,https://www.1976.com.tw/prod/4655
Coach Floral Blush 嫣紅芙洛麗女性淡香精,甜美花果香，適合夏日風情，味道偏甜，適合搭配襯衫、牛仔褲或者連身裙，再配上一頂草帽，持久度尚可，需要補香，是款年輕的香水,木質花香調,枸杞莓、葡萄柚,牡丹、水蜜桃,白松木、麝香,https://www.1976.com.tw/prod/17134
Narciso Rodriguez Fleur Musc 桃色優雅女性淡香精迷你瓶,這品牌的經典款桃色優雅，令人印象深刻的是暖暖的木質感玫瑰花香，適合沈穩女性工作場合使用的辦公香，安全且不雷,玫瑰花香調 、 木質花香調,粉紅胡椒,玫瑰、牡丹、麝香,廣藿香、琥珀、紫蘿蘭花,https://www.1976.com.tw/prod/21832
cK Euphoria 謎情誘惑女性淡香水行動香氛,味道很自然，不嗆，越後味越好聞，值得買來送女友他一定會喜歡。,乳脂香調 、檀香,,玉蘭花、文心蘭,,https://www.1976.com.tw/prod/22865
Anna Sui Flight of Fancy 逐夢翎雀女性淡香水,Anna Sui的香水，真的都好適合收藏哦！每一款的瓶身都很夢幻~ 這款的香味是果香中帶點甜美，但卻又甜而不膩，很適合當入門香哦！,花果清新調,日本蜜柚、 爪哇檸檬、 荔枝,玫瑰花、 星木蘭、 紫蒼蘭,白麝香、 安息香、 雲杉,https://www.1976.com.tw/prod/4507
Chanel Coco Mademoiselle Intense 香奈兒摩登魅惑印記女性淡香精,正如其名--魅惑，比摩登COCO更成熟一點的女郎，後調有明顯的廣藿香，暖熱的香料味，而且比原版更持久許多。原版更適合日常和夏天。,東方花香調 、 柑橘調,西西里柑橘、卡拉布里亞佛手柑,玫瑰、茉莉花香,廣藿香、琥珀、香草、頓加豆,https://www.1976.com.tw/prod/15839
Dior Dune 迪奧沙丘女性淡香水,這瓶是朋友送給媽媽的，瓶身非常美，非常有女王的感覺，第一次聞到它讓人驚艷，很強勢、但又不失古典優雅風範，適合成熟女性,木質東方調,中國牡丹、百合、香蘿蘭,香水樹、茉莉花,金雀花、地衣、龍涎香,https://www.1976.com.tw/prod/2586
Carolina Herrera Chic 俏麗女性淡香精 Tester,柔美的氣息搭配水晶玻璃的瓶身設計，高雅綻放著與眾不同的氣質！,玫瑰花香調,,,,https://www.1976.com.tw/prod/3123
Coach Floral Blush 嫣紅芙洛麗女性淡香精 TESTER,香味持續一整天沒問題，算是很持久的香水，聞起來比較像果香調的香氛，夏天噴也不會太過濃郁覺得不舒服，洗完澡噴少量在身上，甜甜好入睡，或是房間內也可以噴一下讓空氣中散發出香甜味，都是非常棒的嗅覺享受。,木質花香調,枸杞莓、葡萄柚,牡丹、水蜜桃,白松木、麝香,https://www.1976.com.tw/prod/18361
Clean Warm Cotton 溫暖棉花淡香精,我覺得是曬過太陽＋洗衣粉的味道，clean家感覺都是走這個路線的，很清新，噴在棉被上好像棉被剛洗好一樣ＸＤ,棉花、橙花、果香調、海洋調,柑橘、檸檬馬鞭草,,琥珀、麝香,https://www.1976.com.tw/prod/8020
Issey Miyake Pleats Pleats 繽紛綠女性淡香水,前味帶有清新柑橘香，中後味則是完全不帶甜的清新白花香，很適合白襯衫的低調好味道。,花果清新調,玫瑰、綠色玫瑰花苞、花莖,沙梨、牡丹,雪松、廣藿香,https://www.1976.com.tw/prod/12661
Calvin Klein CK Beauty 雅緻女性淡香精,看似簡單的前、中、後味，但確是一瓶有層次、有厚度的味道，淡雅的黃葵子引出醇厚的茉莉花香，茉莉花香醇厚持久但不會讓人感到俗氣，漸漸混合後味的沉穩杉木味，又帶出另一種木質花香調的風采。,木質花香調,黃葵子,茉莉花,杉木,https://www.1976.com.tw/prod/8145
Calvin Klein ck Beauty 雅緻女性淡香精 TESTER,很純粹的茉莉花香，噴在手上會讓人想一聞再聞，味道偏成熟、溫暖而不厚重，很有氣質。前中味滿持久的，可以維持很長時間的茉莉花香，後味是細細的清爽香味(我聞不出是什麼XD)，如果在此時補香，也不致太過濃厚。,,黃葵子,茉莉花,杉木,https://www.1976.com.tw/prod/8208
Paco Rabanne Lady Million Eau My Gold 百萬千金女性淡香水,蜂蜜與葡萄柚綜合起來，猶如香甜的果汁，幾分鐘後，中味轉為花香調，像是百萬千金天生獨特的一點點任性，一點點自我。奢花的香味中，仍然不失俏皮與時尚感，後味的雪松香可以持續很久很久，雖然淡香水，能有這樣的持久度算非常優異。,柑橘花香調,芒果、新鮮葡萄柚,紫羅蘭葉、橙花,雪松、琥珀香、麝香,https://www.1976.com.tw/prod/12013
Givenchy EauDemoiselle Eau Florale 紀梵希宮廷玉露浪漫玫瑰女性淡香水,"第一次聞覺得像是女生剛洗完澡出來很舒服的皂香味道,但噴幾次後,覺得是玫瑰香調但又多了果香,是花香果香很平衡的香味,清新風的偏甜,但不會膩,喜歡玫瑰又不喜歡太成熟,這支很適合",玫瑰花香調,西洋梨、水茉莉,野玫瑰,白木香樹,https://www.1976.com.tw/prod/11561
Calvin Klein CK Sheer Beauty 純淨雅緻女性淡香水,原以為......這款香水會有甜到不行的蜜桃味，但嗔了幾下，發覺它充滿著淡淡的蜜桃味，是非常舒服的味道!!,花果清新調,紅莓、水蜜桃貝里尼酒、佛手柑,粉紅百合、茉莉、牡丹,麝香、檀香,https://www.1976.com.tw/prod/9426
Clean Warm Cotton 溫暖棉花女性淡香精香水筆,,花果清新調,柑橘、馬鞭草,棉花、橙花、果香、海洋,麝香、琥珀,https://www.1976.com.tw/prod/18281
Elizabeth Arden Green Tea Lotus 雅頓綠茶蓮花限量淡香水,最近開始又喜歡綠茶香，基底的綠茶加上花香有意想不到的和諧！綠茶讓花香變得清新脫俗，CP值很高的一款淡香，這款值得收藏！,茶香清新調 、 水生花香調,紫梅、櫻花、柚子,桃花木、蓮花、綠茶、桂花,麝香、白樺,https://www.1976.com.tw/prod/7379
Penhaligon's The Favourite 潘海利根女王的耳語淡香精,一噴上手腕就聞到酸甜多汁的柑橘和檸檬味，不久混合中味鳶尾花的粉感後，竟然有股檸檬蛋糕的香氣～隨著後調出現，轉為柔和的木質調。非常優雅有氣質的一款香！,木質花香調,柑橘、紫羅蘭、小蒼蘭,含羞草、鳶尾、茉莉,麝香 、降龍涎香醚、檀香,https://www.1976.com.tw/prod/19185
Chanel Coco Mademoiselle 香奈兒摩登女性淡香精版本,摩登COCO是我一聞就愛上的香，她不像香奈兒5號那麼搶眼，又不像chance系列的粉紅泡泡那樣低調，剛剛好的花香很有氣質，像大家閨秀~~捨不得穿呢！,東方花香調,香橙、橘子、橙花、香檸檬,含羞草、茉莉、土耳其玫瑰、依蘭,零陵香豆、廣藿香、芳香樹脂、香草、香根草、白麝香,https://www.1976.com.tw/prod/15127
Prada La Femme 女性淡香精,"這是款適合秋冬的香水～
氣溫高時穿覺得有些膩

秋天寒流來時再穿上她，突然就愛上了！
有種被包覆起來的溫暖感
柔柔的感覺～ 多噴幾下也沒有厚重感～
時不時會去聞聞手臂的香味～
有種溫柔小姐姐的感覺❤️",東方花香調,香料、蜂蠟,雞蛋花、鳶尾花、伊蘭、晚香玉,香根草、香草,https://www.1976.com.tw/prod/15166
Coach Wild Rose 曠野玫瑰女性淡香精,買的是迷你香。點在手腕上首先是略帶酸味的果香，但很快酸甜消失，轉成了溫暖的氣味。比起夏天這款香比較適合乍暖還涼的春天，香氣給我的感覺是穿著法式連身裙的女人，是帶著精緻粧容的嫻靜女性一如文案所寫--優雅女人味。,花果甜美調,紅醋栗、佛手柑,野玫瑰、沙巴茉莉,龍涎香、苔蘚、零陵香豆,https://www.1976.com.tw/prod/19982
Coach Wild Rose 曠野玫瑰女性淡香精 TESTER,COACH曠野玫瑰淡香精以漸層勃根地酒紅設計瓶身，瓶身中央依然維持著具代表性且充滿細節的馬車雕刻，旋轉壓頭以精緻金色呈現，經典吊牌呼應著此次的酒紅色與金色Ｃ型LOGO相襯，更顯優雅女人味。,花果甜美調,紅醋栗、佛手柑,野玫瑰、沙巴茉莉,龍涎香、苔蘚、零陵香豆,https://www.1976.com.tw/prod/19984
Jo Malone 黑石榴香水-Pomegranate Noir,曾經在路上聞到一絲神秘的香味，覺得很熟悉但又想不起來，當下腦中浮現的形象是一個漂亮有氣質又有個性的美女，只是當時是晚上的街上，遍尋不著香味本人，回家聞一輪櫃子的香水，才發現是這罐黑石榴！ 當初自己聞的時候覺得不起眼，沒想到從別人身上散發的是這麼強的氣場,木質調 、 花果甜美調 、 辛辣調,紅石榴、覆盆子、李子,粉紅胡椒、香水百合,辛辣木香,https://www.1976.com.tw/prod/17623
Coach Wild Rose 曠野玫瑰女性淡香精迷你瓶,COACH曠野玫瑰淡香精以漸層勃根地酒紅設計瓶身，瓶身中央依然維持著具代表性且充滿細節的馬車雕刻，旋轉壓頭以精緻金色呈現，經典吊牌呼應著此次的酒紅色與金色Ｃ型LOGO相襯，更顯優雅女人味。,花果甜美調,紅醋栗、佛手柑,野玫瑰、沙巴茉莉,龍涎香、苔蘚、零陵香豆,https://www.1976.com.tw/prod/19983
Anna Sui Fantasia Rose 玫瑰花舞獨角獸淡香水,Anna Sui是我25歲左右熱愛的品牌，青春、夢話、華麗、可愛的包裝，我對充滿甜膩的Anna Suii改觀，這罐的玫瑰花不明顯，反而是玫瑰天竺葵與玫瑰草的香氣，清新加一點個性，適合青春女孩。,木質花香調,黃葵、佛手柑、野莓,玫瑰、水生調、天竺葵,琥珀木、香根草、麝香,https://www.1976.com.tw/prod/21700
Jo Malone 紅玫瑰淡香水-Red rose,平常我就很喜歡買玫瑰花回家，這隻香水就是把一百朵玫瑰的香味縮小成你噴出來的一瞬，沒有做任何化學加工的味道，沒有任何脂粉跟虛假，就是純粹的新鮮玫瑰跟玫瑰的枝葉味道，讓人永遠不會感覺到膩，因為人的鼻啊其實最終還是喜歡大自然存在的花香味道，可以安心買,紅玫瑰香調、紫羅蘭葉,檸檬,,蜂蠟,https://www.1976.com.tw/prod/13917
Tous L'Eau 水語花香女性淡香精,"開頭的柑橘檸檬並不容易發覺，中味給人感覺十分淡雅；
後味的木質香不知為何帶一點清涼感，也有我喜歡的琥珀。
整體來說是有氣質、甚至是讓我腦中浮現”靈氣”二字的香味，
適合微涼初秋的心境。",木質花香調,柑橘、綜合花香、檸檬,小蒼蘭、茉莉、黑醋栗、白牡丹,白麝香、廣藿香、琥珀,https://www.1976.com.tw/prod/9418
Marc Jacobs 清甜雛菊燦耀限量版女性淡香水,這瓶身的包裝就跟香調一樣讓人聯想到一整片被陽光灑落的花田，清甜的果香勾引出花的清香讓人舒暢。,花果清新調,梨子、葡萄柚,紫羅蘭、覆盆子,含羞草、麝香、雪松,https://www.1976.com.tw/prod/22740
Coach LOVE 時尚戀紅女性淡香精,以香氣馥郁的紅絲絨玫瑰為主，讓人感受到在約會中散發的愉悅心情。最後轉為溫暖的雪松木質香，如同伴侶的貼心舉動，在心中留下絲絲暖意，堆疊出愛情甜蜜溫暖的迷人模樣，交織出與眾不同的愛情模樣。,玫瑰花香調 、 花果甜美調,野生草莓,紅絲絨玫瑰,雪松,https://www.1976.com.tw/prod/22536
YSL Mon Paris Parfum Floral 慾望巴黎淡香精-星木蘭版,這罐味道真的很討喜～雖然緞帶系列味道都很相似，不過最後我還是選擇星木蘭這瓶～聞起來甜甜的但也不致於讓人覺得過頭，很適合上班或上課時稍微點綴一下自己！,玫瑰花香調 、 柑苔調,佛手柑、梨子、覆盆子、桃子,曼陀羅、雙瓣茉莉、橙花、星木蘭、牡丹,廣藿香、麝香,https://www.1976.com.tw/prod/17007
Jimmy Choo 同名女性淡香水,沐浴後的香氣，每次只要到健身房運動後忍不住就為自己做了一次香水浴，像是準備好準備約會的前奏。,綠色果香調、生薑,,茶玫瑰、老虎蘭花,雪松,https://www.1976.com.tw/prod/8634
Marc Jacobs Daisy Glow 小雛菊燦耀限量版女性淡香水,多汁甜美又微酸的白草莓和微微粉感，給人陽光有朝氣的感覺，瓶子也美得不行，噴上後瞬間減齡3歲吧XD,花果清新調,白草莓、甜橙,金盞花、茉莉、紫羅蘭,白木香、麝香、香草,https://www.1976.com.tw/prod/22739
Jimmy Choo 同名女性淡香水 TESTER,前期是像沐浴香一般，平易近人的花香，有別其他香水一入鼻便是強勢的宣告，它讓我感到的是滿滿的舒服自在。而在後段漸漸顯出它的持久力，木質香的沉穩氣質，不變的仍舊是它給我親人的舒適感。,綠色果香調、生薑,,茶玫瑰、老虎蘭花,雪松,https://www.1976.com.tw/prod/9558
Jo Malone 橙花香水-Orange Blossom,清新的橙花，單噴覺得比較清冷脫俗花香，如果混香同品牌的黑石榴，一會兒會有像乖乖軟糖(柑橘口味)的甜香，整個人氣質都甜美清純起來了~,柑橘花香調,克萊門汀花、丁香,橙花、荷花,鳶尾花、香根草,https://www.1976.com.tw/prod/17235
Chanel Coco Mademoiselle 香奈兒摩登女性淡香水,第一次接觸到這瓶香水的時候是二十出頭就愛上了這個香味，一開始噴味道比較嗆濃，可是到了中後味時就會散發出成熟又甜甜的味道，只噴一點就超持久的，不過切記不要噴太多，一點點就超香超持久的！,東方花香調,葡萄柚、荔枝,玫瑰、茉莉,廣藿香、香根草、香草、白麝香,https://www.1976.com.tw/prod/3079
Coach Gold 時尚閃耀女性香精,COACH GOLD時尚閃耀香精是品牌首款香精濃度的香氛作品，靈感來自陽光灑落於紐約時的金色氛圍，打造大膽又優雅的花香琥珀調。,東方花香調 、 花果甜美調,粉紅胡椒、蘋果、佛手柑,杏花、玫瑰水、Petalia,香草、龍涎香、雪松,https://www.1976.com.tw/prod/22936
Chanel Coco Mademoiselle 香奈兒摩登CoCo女性淡香水 TESTER,第一次接觸到這瓶香水的時候是二十出頭就愛上了這個香味，一開始噴味道比較嗆濃，可是到了中後味時就會散發出成熟又甜甜的味道，只噴一點就超持久的，不過切記不要噴太多，一點點就超香超持久的！,東方花香調,,,,https://www.1976.com.tw/prod/20386
Jimmy Choo 同名女性淡香水迷你瓶,連小香都很有誠意很精緻。看蛇皮的外盒以為是很強勢的濃烈性感香但其實不會，是很好駕馭的低調性感女香。後味更是很有質感的蘭花搭配玫瑰。,綠色果香調、生薑,,茶玫瑰、老虎蘭花,雪松,https://www.1976.com.tw/prod/6594
Coach Gold 時尚閃耀女性香精迷你瓶,COACH GOLD時尚閃耀香精是品牌首款香精濃度的香氛作品，靈感來自陽光灑落於紐約時的金色氛圍，打造大膽又優雅的花香琥珀調。,東方花香調 、 花果甜美調,粉紅胡椒、蘋果、佛手柑,杏花、玫瑰水、Petalia,香草、龍涎香、雪松,https://www.1976.com.tw/prod/22945
Marc Jacobs Daisy 小雛菊女性淡香水,前味的野生草莓、粉紅葡萄柚帶來清甜的氣息，中後味搭配有溫暖的感覺，算是陽光氣質少女的香，持香度不久，偶爾須補香，不過噴量還是要輕些避免太濃郁~,花香調,紫羅蘭葉、野生草莓、粉紅葡萄柚,梔子花、茉莉花、紫羅蘭,麝香、香草、珍木,https://www.1976.com.tw/prod/4546
Nina Ricci L'Air du Temps 比翼雙飛女性淡香精,第一次喜歡上老香。容易穿，不甜，不妖豔，不挑季節場合，重點是氣質大大加分。清香高雅，比翼雙飛適合年輕氣質美女，不虧是經典老香水。,木質花香調,佛手柑、桃子、橙花油、紫檀,茉莉、蘭花、康乃馨、鳶尾草,安息香、檀香、西洋杉、琥珀、白麝香,https://www.1976.com.tw/prod/3140
Calvin Klein ck Truth 真實女性淡香精,"層次感非常豐富的一款香水, 每個階段的味道都很獨特, 尤其最末那股馥郁琥珀香, 一直縈繞在週圍....是一款很特別又耐人尋味的香氛, 我很喜歡!!",木質花香調,竹子、芍藥、竹子、佛手柚,合歡花、香子蘭野玫瑰、絲樹花,白琥珀、香木、白麝香,https://www.1976.com.tw/prod/4315
Coach Dreams 逐夢女性淡香精,鄰家女孩的甜美香氣，跟蘭蔻唯我香水相似度高，是完全無害的香氣，蜜梨跟苦橙俏皮地散發著青春明亮的活力，梔子花跟仙人掌將一開始的甜美慢慢收斂為優雅，輕木質基底緩緩飄散出舒服的餘韻，是款不踩雷香。,花果清新調,蜜梨、苦橙,梔子花、仙人掌,龍涎麝香、約書亞樹,https://www.1976.com.tw/prod/17831
YSL Mon Paris Intensement 慾望巴黎馥郁版女性淡香精(花耀),香甜的味道，持久的味道，相當讓人上癮。特別喜歡這種花香與香草的搭配，就像甜點般卻不膩口，重要場合不會錯，日常小性感也可以！,玫瑰花香調 、 花果甜美調,佛手柑、梨子、覆盆子、黑醋栗、橙,曼陀羅、五月玫瑰、保加利亞玫瑰、牡丹、小蒼蘭,喀什米爾木麝香、廣藿香、安息香、白麝香、香草,https://www.1976.com.tw/prod/18095
Nina Ricci L'Air du Temps 比翼雙飛女性香水TESTER,高中時期開始接觸香水，大家都是先偷噴媽媽化妝台上的嫁妝~結果大撞香。每個媽媽好像都有一瓶比翼雙飛，果然是二戰後的老古董。也就是那個時代的女性縮影，溫柔堅毅好媽媽。,木質花香調,佛手柑、桃子、橙花油、紫檀,茉莉、蘭花、康乃馨、鳶尾草,安息香、檀香、西洋杉、琥珀、白麝香,https://www.1976.com.tw/prod/4009
Marc Jacobs Daisy 小雛菊女性淡香水 TESTER,今天收到香水了，第一瓶Marc Jacobs的香水，瓶子真的超級可愛，而且真的好香喔!!! 是那種花香，可是又不會太膩，夏天噴也不會太暈，很有春天的氣息，下次想再試試輕甜雛菊。,花香調,紫羅蘭葉、野生草莓、粉紅葡萄柚,梔子花、茉莉花、紫羅蘭,麝香、香草、珍木,https://www.1976.com.tw/prod/7172
Jimmy Choo 同名女性淡香精,這瓶香水奧斯卡有得獎喔! 瓶身設計~宛如有著細緻珠寶切面的水晶寶石，外盒部分玫瑰粉色蟒蛇皮轉化為香水外包裝紙盒的壓紋，觸摸起來也有仿蛇皮的立體浮凸感^！讓這支香水散發獨特的木質果香柑苔調，有如一個摩登又亮眼，美麗又感性，充滿神祕感與獨有性感風情的女人，如此與眾不同，令人難忘！宛如肌膚自然香氣的極度女人味。,木質花香調 、 柑苔調,義大利甜柑橘、水梨,老虎蘭花,太妃糖、印尼廣藿香,https://www.1976.com.tw/prod/8721
