name,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Chloe Nomade Lumiere d'Egypte 芳心之旅湛影女性淡香精迷你瓶,香氣由黎明綻放的藍蓮花揭開序幕，融合甜美茉莉與kyphi古香料的神秘香氣，並透過粉紅莓果與艾勒米精油堆疊層次，綻放溫潤的礦物質氣息。,東方花香調,蓮花,茉莉、粉紅胡椒、欖香脂,沒藥、肉桂、檀香、奇斐,https://www.1976.com.tw/prod/22821
Gucci Bloom Nettare di Fiori 花悅蜜意濃郁女性淡香精,當初是被典雅的瓶身吸引，到貨後更被這收斂又怡人的香氣迷魍著，更喜歡它緊密的噴霧效果。很滿足的喜愛著,花香調,生薑、玫瑰,使君子、晚香玉、茉莉,桂花、廣藿香、麝香,https://www.1976.com.tw/prod/16594
Dolce & Gabbana Light Blue eau intense 淺藍極致女性淡香精,剛開始是青澀的青蘋果及檸檬酸酸的果香，中後味花香融合琥珀及麝香，是瓶清新宜人的香水,柑橘花香調,檸檬、翠玉蘋果,萬壽菊、茉莉花,琥珀木、麝香,https://www.1976.com.tw/prod/15180
Hermes L'ombre Des Merveilles 愛馬仕暗夜橘采星光中性淡香精 TESTER,"2020年HERMES 推出暗夜橘采星光，以「明亮與黑暗共舞」作為設計靈感，其中代表明亮的乳香，繾綣的散發出輕盈的氣息,突顯出主調的柑橘清香，代表黑夜色彩的零陵香豆加以散發，最後用一絲紅茶香裹著溫醇的木質氣香氣，襯托其他的明亮色彩。用氣味的想像來凸顯明暗對比，彷彿置身破曉的森林中。",木質東方調,紅茶,乳香,零陵香豆,https://www.1976.com.tw/prod/19141
Chloe 同名女性淡香精,浪漫又不失清新的香氛氣息，就算撞香也還是好喜歡，韓國藝人孫藝珍愛用香~,玫瑰花香調,小蒼蘭、粉色牡丹、荔枝,木蘭花、玫瑰花、鈴蘭,香柏木、琥珀 、蜂蜜,https://www.1976.com.tw/prod/4869
Dolce & Gabbana Light Blue eau intense 淺藍極致女性淡香精 TESTER,"剛噴味道較淡,就多噴幾下...呵呵,還好沒失手, 接著檸檬..柑橘的味道就出來了,花香不明顯,像中性香水但不是清新調的",柑橘花香調,檸檬、翠玉蘋果,萬壽菊、茉莉花,琥珀木、麝香,https://www.1976.com.tw/prod/15560
Salvatore Ferragamo Signorina 芭蕾女伶女性淡香水,就是衝著想聞聞看白米和牛奶慕斯搭起來如何就盲目地買了xD(吃貨無誤)聞起來果真暖香！像裹在冬天的被窩裡甜甜暖暖的讓人無法自拔！但甜味之外更多了許多氣質，根本必敗！,玫瑰精油、白米香調,葡萄柚、荔枝,,牛奶慕斯、喀什米爾木,https://www.1976.com.tw/prod/11030
Burberry My Burberry 女性淡香精,當初衝著是Cara跟Kate Moss代言的，噴上去會有一種進入不同時區的感覺，一種知性、溫柔、優雅的淡淡甜味，真的很符合Burberry的品牌風格，就像一個穿著招牌風衣的優雅輕熟女。,,甜豌豆、佛手柑精油,金溫桲、小蒼蘭、天竺葵葉精油,玫瑰香精、廣藿香精油,https://www.1976.com.tw/prod/13040
Dolce & Gabbana Light Blue Forever 淺藍詠愛女性淡香精,和淺藍清新直率的個性比起來，淺藍詠愛的味道更為溫潤，是聞起來舒服不會和周圍衝突的香氣，如同一位溫柔婉約的氣質女孩。,柑橘花香調,檸檬、青蘋果,白花、橙花,雪松精華、麝香,https://www.1976.com.tw/prod/19990
Chloe 同名女性淡香精 TESTER,要小心！這隻是絕對迷人香！無論是初，中，終。不管是別人還是自己，都會一直想要沉浸進去整個清甜的玫瑰氛圍。留香時間蠻久的。晚上沐浴後噴上一些，隔天清晨起來依然香氣撲鼻。,玫瑰花香調,小蒼蘭、粉色牡丹、荔枝,木蘭花、玫瑰花、鈴蘭,香柏木、蜂蜜、琥珀,https://www.1976.com.tw/prod/4955
Gucci Bloom Profumo di Fiori 花悅沁意女性淡香精,第一次在專櫃就有聞到這個味道，當下沒有太多的想法只有覺得很好聞而已，一整天試香紙放在包包，回到家聞到後越來越喜歡。本身是不喜歡太濃味道的人，這個味道一直散發著淡淡的茉莉花香，是會讓我一直聞一直聞不會膩的。持香度中等偏高，一整天下班後去運動完手腕還有淡淡的味道，比出門前淡了不少但不會消失，超愛這瓶!,太陽香調、檀香、鳶尾花、安息香、麝香,茉莉花蕊、使君子,晚香玉、茉莉、依蘭,,https://www.1976.com.tw/prod/18485
Hermes Barenia 愛馬仕巴蕾尼亞女性淡香精,新的西普調香水！愛馬仕Barenia淡香精融合蝴蝶百合與神秘果的幽香，尾韻繚繞橡木和廣藿香的濃郁香氣，詮釋chypre調的經典結構。,木質花香調 、 柑苔調,神秘果,蝴蝶百合,橡木、廣藿香,https://www.1976.com.tw/prod/22316
Burberry My Burberry 女性淡香精 TESTER,一打開來瓶身非常有質感，懷抱著期待的心情，噴上去，後味帶著香甜，香甜中又有一股淡淡的花香，很適合約會時噴哦！,,甜豌豆、佛手柑精油,金溫桲、小蒼蘭、天竺葵葉精油,玫瑰香精、廣藿香精油,https://www.1976.com.tw/prod/14815
Gucci Bloom Profumo di Fiori 花悅沁意女性淡香精 TESTER,第一次在專櫃就有聞到這個味道，當下沒有太多的想法只有覺得很好聞而已，一整天試香紙放在包包，回到家聞到後越來越喜歡。本身是不喜歡太濃味道的人，這個味道一直散發著淡淡的茉莉花香，是會讓我一直聞一直聞不會膩的。持香度中等偏高，一整天下班後去運動完手腕還有淡淡的味道，比出門前淡了不少但不會消失，超愛這瓶!,太陽香調、檀香、鳶尾花、安息香、麝香,茉莉花蕊、使君子,晚香玉、茉莉、依蘭,,https://www.1976.com.tw/prod/18977
Hermes Barenia 愛馬仕巴蕾尼亞女性淡香精迷你瓶,新的西普調香水！愛馬仕Barenia淡香精融合蝴蝶百合與神秘果的幽香，尾韻繚繞橡木和廣藿香的濃郁香氣，詮釋chypre調的經典結構。,木質花香調 、 柑苔調,神秘果,蝴蝶百合,橡木、廣藿香,https://www.1976.com.tw/prod/22638
Gucci Bloom Profumo di Fiori 花悅沁意女性淡香精迷你瓶,第一次在專櫃就有聞到這個味道，當下沒有太多的想法只有覺得很好聞而已，一整天試香紙放在包包，回到家聞到後越來越喜歡。本身是不喜歡太濃味道的人，這個味道一直散發著淡淡的茉莉花香，是會讓我一直聞一直聞不會膩的。持香度中等偏高，一整天下班後去運動完手腕還有淡淡的味道，比出門前淡了不少但不會消失，超愛這瓶!,太陽香調、檀香、鳶尾花、安息香、麝香,茉莉花蕊、使君子,晚香玉、茉莉、依蘭,,https://www.1976.com.tw/prod/20468
Salvatore Ferragamo Signorina 芭蕾女伶女性淡香精,一開始是黑醋栗酸酸甜甜的滋味，接著優雅又清甜的花香逐漸出現，最後義式奶酪的味道令人印象深刻，太好吃的感覺了。像是養樂多，也像是鮮奶蛋糕的香味！適合年輕女孩使用。,誘人美食調 、 花果清新調,粉紅胡椒、黑醋栗,玫瑰、茉莉、牡丹,義式奶酪、麝香、廣藿香,https://www.1976.com.tw/prod/9420
Dolce & Gabbana Light Blue Summer Vibes 淺藍心動印記女性淡香水 TESTER,想像著你正在義大利悠閒的度假：一個愉快又自在淺藍假期！,木質清新調 、 柑橘清新調,佛手柑,蜜桃,雪松,https://www.1976.com.tw/prod/22749
Chloe 同名女性淡香精迷你瓶,萬年不敗最愛的香水，在不同的體溫，前中後調都有不同的感覺，最喜歡後面那股淡淡的香味，不僅很有氣質的味道，還很順,玫瑰花香調,小蒼蘭、粉色牡丹、荔枝,木蘭花、玫瑰花、鈴蘭,香柏木、琥珀,https://www.1976.com.tw/prod/9314
My Burberry Black 女性淡香精 TESTER,"因為玫瑰是糖漬的，所以它聞起來有種莫名的魔力。
它的甜是穩重的，不是糖果或水果的那種膩甜。
留香時間算長，下班回家，還能聞到頭髮上傳來的香味。",玫瑰花香調,茉莉,蜜桃、玫瑰,琥珀、廣藿香,https://www.1976.com.tw/prod/14819
D&G Light Blue Capri in Love 淺藍海邊漫步女性淡香精,清新怡人的香水，融合了柑橘、無花果、胡椒和柔和木質的香味。它輕盈清爽，非常適合夏天。易於上手，卻不失獨特的韻味，令人愛不釋手。,茶香清新調 、 花果清新調,茉莉花茶,蘋果,馬達加斯加隆格莎,https://www.1976.com.tw/prod/22738
【身體系列】MISS DIOR 花漾迪奧芬芳身體霜 TESTER,淡淡的花香味，又帶點果香，噴起來有種溫柔優雅的感覺！讓人聞起來非常的舒服，想一直每天使用的一款香水，適合上班每天使用，也適合約會時讓對方有好感的一款香水。,花果清新調,,,,https://www.1976.com.tw/prod/22226
Hermes 24 Faubourg 愛馬仕相遇法布街24號女性香水,像是老式電影的懷舊感，HERMES 24 Faubourg愛馬仕相遇法布街24號女性淡香水是一款濃郁的貴婦香，冬季適用。香氣持久度佳，到中後味更為好聞，尤其適合經過歷練的超熟女，因為它有一股矜貴、傲慢、難以駕馭的氣場，適合高高在上的女王型情人，或強勢女主管為自己增添魅力。,東方花香調,柑橘、 風信子、 香檸檬、 桃子,茉莉、 鳶尾花、 橙花,草香、 琥珀、 廣藿香、 檀木,https://www.1976.com.tw/prod/2759
Prada Paradoxe 我本莫測女性淡香精,茉莉、琥珀、波旁香草蠻明顯，前中味我只大致能分得出茉莉以及蠻高級的香甜味，但聞不出太多細節。蠻省用量，過四五小時還是可以聞到身上有這個香味。覺得算是花果甜美同時也兼具香草甜美，卻又不會太甜，聞起來真的蠻有層次也很高級。,琥珀香調 、安息香樹脂、波旁香草、白麝香,佛手柑、柑橘、梨子,橙花、橙花花蕾精華、沙巴茉莉,,https://www.1976.com.tw/prod/21104
Chloe L'Eau de Parfum Intense 玫瑰晨語女性淡香精,剛噴上身聞到的前味是Chloe香水經典味道，30分鐘後轉為玫瑰香味，並且非常持久，炎熱的夏天可以撐到下班還能聞到淡淡的香味，建議噴在皮膚上讓體溫轉換出個人獨特的香味，噴在衣服上前味停留太久有點刺鼻。,玫瑰花香調 、 木質花香調 、 花果甜美調,覆盆子,玫瑰,降龍涎香醚、雪松、喀什米爾木,https://www.1976.com.tw/prod/22098
Dolce & Gabbana Devotion 摯愛女性淡香精,"摯愛女性淡香精
Dolce&Gabbana第一款明亮美食調香水。",誘人美食調,糖漬柑橘,橙花,香草,https://www.1976.com.tw/prod/22282
