name,original_price,special_price,specification,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Giorgio Armani Acqua di Gio 亞曼尼寄情水男性淡香精版本隨身香氛,"1,600",799,15ml 噴式,超好聞的 香味又持久!!瓶身設計又簡單俐落!!好適合夏天阿，開心!!!,礦物香調、香根草、廣藿香,海洋調、青柑橘,快樂鼠尾草、天竺葵、薰衣草,,https://www.1976.com.tw/prod/22633
Boss In Motion 新動感男性淡香水(2022),"3,800","1,520",100ml,運動氣息的香味，很適合年輕族群及喜愛運動的人使用!! 後味留下來的沉穩氣味，可以反映有衝勁的男性朋友另外一種個性!值得推薦!!,東方清新調,羅勒、佛手柑、柑橘、紫羅蘭葉,白豆蔻、胡椒、肉桂、肉豆蔻,檀木、麝香、香根草,https://www.1976.com.tw/prod/19272
Dunhill Moroccan Amber 頂級香氛 摩洛哥琥珀男性淡香精,"5,500","2,121",100ml,瓶身設計及外包裝都非常有質感，味道也意外地非常舒服，頂級香氛果然不凡!,木質東方調 、 辛辣調,黑胡椒、香菜、荳蔻、生薑,番紅花、臘菊、肉豆蔻,沉香、摩洛哥皮革、咖啡木、琥珀,https://www.1976.com.tw/prod/19563
Gucci Guilty Elixir de Parfum 罪愛男性香精,"5,650","3,550",60ml,以珍貴的廣藿香為主調，並加強濃度，使香氣更加強烈。香草醛萃取物的添加提升原始香氣，高貴的鳶尾脂則賦予了溫暖環繞的香氣。令人愉悅的龍涎香琥珀香調和淡淡的肉豆蔻氣息相輔相成，使香氣達到巔峰。最後，安息香的基調賦予香氣深度和吸引力。,木質東方調,鳶尾花,龍涎香,安息香,https://www.1976.com.tw/prod/22549
Montblanc Explorer Platinum 萬寶龍極限探尋男性淡香精,"2,150",980,30ml,非常喜歡男生噴這瓶，清爽木質調，後味的雪松帶出值得依靠的感覺，人家說味道具有記憶，久久不能忘懷。,草香清新調 、 木質清新調,紫羅蘭葉,鼠尾草,雪松,https://www.1976.com.tw/prod/20990
Dolce & Gabbana Devotion 摯愛男性淡香精迷你瓶,800,480,5ml 抹式,Dolce & Gabbana Devotion 摯愛男性淡香精散發著木質辛香氣息，是一款迷人、口感細膩的香水，這款香水是由 Olivier Cresp 為 Dolce&Gabbana 專門調製的，以檸檬的新鮮和熱情開始，核心是咖啡辛辣和令人振奮的本質，廣藿香的泥土氣息賦予了特色和深度。,誘人美食調,檸檬,咖啡,廣藿香,https://www.1976.com.tw/prod/23102
Gucci Guilty Black 罪愛夜男性淡香水,"3,150","1,750",50ml,我的第一支香水，讓我身上多了柔美的花香搭配著成熟的氣息，彷彿來到一座心曠神怡的花園中，會讓人忍不住就探索你的祕密花園，如同名稱罪愛夜使人有無限想像。,木質花香調,芫荽、薰衣草,橙花、橙花精油、嫩綠芳香,廣藿香、雪松木,https://www.1976.com.tw/prod/11128
Dior Fahrenheit Parfum 迪奧華氏溫度男性香精,"5,650","3,950",75ml,這款香水就像瓶身的設計與名字，昇華的溫暖東方皮革調，成熟穩重。干燥的波本香草夾雜了朗姆酒，很男人的味道!適合秋冬季節使用。,東方調 、 皮革香調,絨面革、甘草、西西里柑橘,紫羅蘭葉、朗姆酒、香菜、小茴香,波本香草,https://www.1976.com.tw/prod/21080
Guerlain Vetiver 嬌蘭香根草男性淡香水,"4,500","2,880",100ml 外盒略有瑕疵,煙燻香根草，從開始到結束香根草都非常明顯，嬌蘭良心優品，十分驚艷。,草香清新調 、 木質花香調 、 柑橘調,肉荳蔻核仁、香菜、橘子、奈若利橙花、佛手柑、煙草、檸檬,康乃馨、檀木、胡椒、鳶尾根、鼠尾草、香根草,皮革、零陵香豆、琥珀、果子狸、橡苔、香根草、沒藥,https://www.1976.com.tw/prod/14962
Mr Burberry 男性淡香精版本,"5,300","2,650",100ml,"非常清香淡雅的木質調一點都不老氣,前中味帶點甜膩的花香味非常好聞,中後味是溫暖的木質香調,而且香味非常持久適合輕熟男秋冬季節",木質調,香艾菊、肉桂,廣藿香、薰衣草,琥珀、香根草,https://www.1976.com.tw/prod/15783
Giorgio Armani Acqua di Gio 亞曼尼寄情水男性香精版本 PARFUM,"3,600","2,550",50ml,"真的好聞~
前味開頭很突出，很明顯但不打擾人的海洋調！
大概半小時後就轉為淡淡的、要靠近皮膚才會聞到味道，好聞且令人上癮。",木質調 、 海洋清新調,海洋調、佛手柑,快樂鼠尾草、天竺葵、迷迭香,廣藿香、乳香,https://www.1976.com.tw/prod/21644
Salvatore Ferragamo UOMO 峰範男性淡香水,"3,650","1,650",100ml,提拉米蘇! 提拉米蘇! 提拉米蘇! 一噴下去就是滿滿的提拉米蘇味道。因為沒有嘗試過美食調的香水，試聞後就決定入手。調性上感覺跟百萬富翁有點相似，甜中帶有穩重感。也非常適合睡前噴，但前提是餓肚子的狀態下可能會有反效果，一直想吃東西這樣~,木質東方調 、 誘人美食調,黑胡椒、佛手柑、荳蔻,提拉米蘇、橙花、龍涎香,喀什米爾木、檀香、黑豆香,https://www.1976.com.tw/prod/15104
Versace EROS 艾諾斯愛神男性淡香精版本,"2,850","1,450",50ml,凡賽斯最豐富多彩的一款，香甜不膩揉合了香草與香根草，佐以龍涎香穩住男性調，這就是最受國外歡迎的愛神Eros! 如果你又是位有點身材，乾乾淨淨的男性，把愛神噴在結實的手臂上，你就要小心了！被思春期的女生聞到的話，可能被狠咬你一口！德國網紅帥哥Jeremy最愛的夜場男香！,木質東方調,薄荷、義大利檸檬、蘋果、義大利柑橘,玫瑰天竺葵、快樂鼠尾草、龍涎香,香草、香根草、大西洋雪松、廣藿香、檀香,https://www.1976.com.tw/prod/18597
Versace EROS 艾諾斯愛神男性淡香精版本 TESTER,"3,700","1,780",100ml 原廠環保紙盒包裝，有瓶蓋,全新的艾諾斯‧愛神男性淡香精是為那些熱情又英勇，擁有希臘愛神般性格的男人們量身打造；它的香味深刻地刻畫出屬於男人的性感與無窮的力量。,木質東方調,薄荷、義大利檸檬、蘋果、義大利柑橘,玫瑰天竺葵、快樂鼠尾草、龍涎香,香草、香根草、大西洋雪松、廣藿香、檀香,https://www.1976.com.tw/prod/19304
Montblanc Explorer Platinum 萬寶龍極限探尋男性淡香精 TESTER,"3,900","1,380",100ml 原廠環保紙盒包裝，有瓶蓋,非常喜歡男生噴這瓶，清爽木質調，後味的雪松帶出值得依靠的感覺，人家說味道具有記憶，久久不能忘懷。,草香清新調 、 木質清新調,紫羅蘭葉,鼠尾草,雪松,https://www.1976.com.tw/prod/20993
Dior Fahrenheit Parfum 迪奧華氏溫度男性香精 TESTER,"5,650","3,450",75ml 原廠環保紙盒包裝，有瓶蓋,這款香水就像瓶身的設計與名字，昇華的溫暖東方皮革調，成熟穩重。干燥的波本香草夾雜了朗姆酒，很男人的味道!適合秋冬季節使用。,東方調 、 皮革香調,絨面革、甘草、西西里柑橘,紫羅蘭葉、朗姆酒、香菜、小茴香,波本香草,https://www.1976.com.tw/prod/21516
Gucci Guilty Black 罪愛夜男性淡香水 TESTER,"4,500","2,100",90ml (絕版)原廠環保紙盒包裝，有瓶蓋,這款我有買過，我很喜歡這味道，一開始噴味道會重一點，但之後到中味香氣很迷人，連我走在路上去買東西店員是女生還問我說這是甚麼品牌，她很喜歡。,木質東方調,芫荽、薰衣草,橙花、橙花精油、嫩綠芳香,廣藿香、雪松木,https://www.1976.com.tw/prod/10808
Dunhill Arabian Deser 頂級香氛 阿拉伯沉香木男性淡香精,"5,500","2,299",100ml,一開出聞到一股淡淡又溫暖不刺鼻的木質味，過了2小時隨著時間轉變，我聞到的是一股熟男奶香味，有別於Narciso香精版的花香奶味，這款更適合30以上的熟男使用，持香時間有8小時以上，噴在衣服胸口上，從上班到下班都還能一直聞到:D,木質東方調 、 東方花香調,藏紅花、玫瑰花和佛柑,玫瑰、茉莉,沉香、琥珀、焚香,https://www.1976.com.tw/prod/20241
Montblanc Explorer Platinum 萬寶龍極限探尋男性淡香精迷你瓶,600,260,4.5ml 抹式(銀盒),非常喜歡男生噴這瓶，清爽木質調，後味的雪松帶出值得依靠的感覺，人家說味道具有記憶，久久不能忘懷。,草香清新調 、 木質清新調,紫羅蘭葉,鼠尾草,雪松,https://www.1976.com.tw/prod/20992
Versace Eros 凡賽斯艾諾斯愛神男性香精 Parfum,"4,350","2,880",100ml,凡賽斯最豐富多彩的一款，香甜不膩揉合了香草與香根草，佐以龍涎香穩住男性調，這就是最受國外歡迎的愛神Eros! 如果你又是位有點身材，乾乾淨淨的男性，把愛神噴在結實的手臂上，你就要小心了！被思春期的女生聞到的話，可能被狠咬你一口！德國網紅帥哥Jeremy最愛的夜場男香！,東方調,義大利檸檬、義大利柑橘、山蒼樹、黑胡椒,埃及天竺葵、薰衣草、快樂鼠尾草,安息香、廣藿香、香草、海地香根草,https://www.1976.com.tw/prod/20565
Gucci Guilty Essence 罪愛真摯男性淡香水,"3,250","1,950",50ml,剛噴瞬間木質味道有點重，但是馬上變成淡淡的花香，配上一點點木質，非常柔和舒服的味道，不會膩。,木質東方調 、 柑橘花香調 、 柑苔調,芫荽、薰衣草,橙花、橙花精油,廣藿香、雪松,https://www.1976.com.tw/prod/22660
Dior Homme Cologne 清新淡香水(2022),"3,650","2,890",75ml,一噴出就先聞到清新的柑橘香，帶一點薑味讓整體保持非常清新的調性，一路到最尾端都是保持這樣的味道，持香程度約6~8小時，很適合夏天噴,柑橘清新調,卡拉布里佛手柑,摩洛哥葡萄柚花,白麝香,https://www.1976.com.tw/prod/20121
BOSS Selection 卓越菁英男性淡香水,"3,800","1,780",100ml,前味成熟穩重幹練，中後味帶有下班後準備去派對的壞壞感，且香味擴散度高又持久，適合上班族，更適合下班後小酌的生活。,草香清新調,粉紅乾胡椒、柑橘、葡萄柚,廣藿香、雪松葉,麝香、檀香、香根草,https://www.1976.com.tw/prod/3640
Guerlain Heritage 嬌蘭遺產男性香水,"4,500","2,950",100ml 淡香水,嬌蘭非常經典的香水，老派的氣味。這絕對是時間膠囊。這也是創作者的想法……他用嗅覺喚起了過去的時光。,醛、杜松子、薰衣草、草香調、紫羅蘭、鼠尾草、苦橙，佛手柑、檸檬,,仙客來、香菜、康乃馨、廣藿香、胡椒、香脂冷杉、鳶尾根、茉莉、鈴蘭、玫瑰、天竺葵、粉紅胡椒,檀香、琥珀、麝香、橡苔、雪松,https://www.1976.com.tw/prod/18330
Dunhill Mongolian Cashmere 頂級香氛 蒙古羊絨男性淡香精,"5,500","2,550",100ml,非常原始的皮革氣息，天竺葵、玫瑰以及最終非常明顯的鳶尾草香調使其變得柔和。這個系列的品質非常高。迄今為止我聞過的系列中我最喜歡的。,東方花香調 、 皮革香調,粉紅胡椒、柑橘,天竺葵、鳶尾草、玫瑰,絨面革、琥珀、麝香,https://www.1976.com.tw/prod/21973
Versace Eros Flame 凡賽斯愛神火焰男性淡香精,"2,850","1,560",50ml,胡椒、蜜橘、香根草甜香，跟原版愛神有的比騷，甚至有DIOR曠野感與罪愛男士即視感，留香頗持久，蠻有侵略性~,木質調 、 柑橘調 、 辛辣調,柑橘、苦橙、黑胡椒、野生迷迭香,胡椒木、天竺葵、玫瑰,雪松、廣藿香、香根草、檀香木、橡木苔,https://www.1976.com.tw/prod/17465
BOSS Selection 卓越菁英男性淡香水 Tester,"2,750","1,550",100ml 原廠環保紙盒包裝，無瓶蓋,這瓶算是女友少數喜歡的味道!!前味柑橘搭配一點點的葡萄柚，有點甜又不會太甜!!中味我完全聞不出來!!不過後味的麝香及一點點得壇香我覺得就是一種很有自信的味道!!女友很愛我擦這瓶,草香清新調,粉紅乾胡椒、柑橘、葡萄柚,廣藿香、雪松葉,麝香、檀香、香根草,https://www.1976.com.tw/prod/4406
Guerlain Heritage 嬌蘭遺產男性淡香精 TESTER,"5,000","2,580",100ml 原廠環保紙盒包裝，有瓶蓋,"這支真的是越聞越迷人，香味本身相當的高雅出眾，前調剛出來時就是一股醛的味道，但並不刺激，跟其他香材的味道搭起來十分溫和優雅。
雖然有花香的存在，但並不女氣，與木質的香氣搭配的相當和諧穩重，是一支相當紳士的味道。
適合有點閱歷、或者希望讓自己感覺起來比較穩重的男性朋友們。
(強硬地噴在老公身上，每天逼他穿這支)",醛、杜松子、薰衣草、草香調、紫羅蘭、鼠尾草、苦橙，佛手柑、檸檬,,仙客來、香菜、康乃馨、廣藿香、胡椒、香脂冷杉、鳶尾根、茉莉、鈴蘭、玫瑰、天竺葵、粉紅胡椒,檀香、琥珀、麝香、橡苔、雪松,https://www.1976.com.tw/prod/21649
Versace Eros Flame 凡賽斯愛神火焰男性淡香精 TESTER,"3,700","1,780",100ml 原廠環保紙盒包裝，有瓶蓋,非常性感又騷氣的香調，持香度8小時以上，夜晚的場合讓你成為全場的矚目，撞香率很低，或許是因為香氣高調又有侵略性。很迷人很有魅力的一款～,木質調 、 柑橘調 、 辛辣調,柑橘、苦橙、黑胡椒、野生迷迭香,胡椒木、天竺葵、玫瑰,雪松、廣藿香、香根草、檀香木、橡木苔,https://www.1976.com.tw/prod/21864
Calvin Klein cK Truth 真實男性淡香水,"3,200","1,380",100ml,清新舒服自在，些許微甜的草香再帶點水樣在進入淡淡的木質調! 猶如散步在草原上的感覺!,陽光木質香調,小壼蔻、 紫蘇、 嫩芽綠葉,,瓦卡布木、 白廣藿、 紅柏,https://www.1976.com.tw/prod/4170
Montblanc Legend 萬寶龍傳奇經典男性淡香水,"1,950",899,30ml,第一次聞到這瓶時，給人有充滿成熟魅力男人的感覺，是那種一聞就很想靠近他的味道，佛手柑的味道沉穩又高雅，這瓶我列為男性第一經典香水，萬寶龍真的是傳奇!,柑苔調,薰衣草、山胡椒、卡拉布里亞佛手柑,橡苔、玫瑰花、蘋果、天竺葵,東加豆、檀香,https://www.1976.com.tw/prod/8685
Carolina Herrera 212 VIP 男性淡香水,"3,500","2,380",100ml,香調是手指香檸、冷凍薄荷伏特加、西阿拉黃檀木的味道總合，成了這一款香水獨一無二的存在，嗆辣中帶著歡愉的快感，雖然是味道比較濃的香水，卻是讓人心動的香氣，是我心中的迷人撲倒香。,木質清新調,手指香檬,冷凍薄荷伏特加,西阿拉黃檀木,https://www.1976.com.tw/prod/8935
Issey Miyake 三宅一生一生之水男性淡香水,"1,950",999,40ml,前味是日本柚子 真的很特別！彷彿是躺在清晨有雨露的大草原上，旁邊開著一些野花 很自然 很舒服，後味得輕木質調慢慢浮現，很清香 跟體味慢慢融入在一起,木質清新調,香木緣、莞荽、柏樹、南歐丹蔘、柑桔、馬鞭草,藍水百合、番紅花、老鶴草、肉桂皮、荳蔻,麝香、中國柏樹、印度檀香、海地岩蘭草、琥珀煙草,https://www.1976.com.tw/prod/2646
Carolina Herrera 212 VIP 男性淡香水 TESTER,"3,500","1,976",100ml 無紙盒，有瓶蓋,前味是不刺鼻的檸檬淡香味但是到中後味又跑出帶甜的薄荷香~非常適合剛步入大學的大學生，第一次買212就覺得這牌的香水真的很棒!讓我在人際交流上更有自信~,木質清新調,手指香檬,冷凍薄荷伏特加,西阿拉黃檀木,https://www.1976.com.tw/prod/9190
Montblanc Legend 萬寶龍傳奇經典男性淡香水 TESTER,"3,600","1,280",100ml 原廠環保紙盒包裝，有瓶蓋,有個朋友他是做業務主任，每次都會聞到他身上的香味，不知道為什麼總是會有一種特別沉穩安心的感覺，後來他才說是用了這款，上班族很適合這款，真的。,柑苔調,薰衣草、山胡椒、卡拉布里亞佛手柑,橡苔、玫瑰花、蘋果、天竺葵,東加豆、檀香,https://www.1976.com.tw/prod/9564
Penhaligon's Cairo 潘海利根開羅中性淡香精,"9,500","6,560",100ml,受到古城日出的啟發，Penhaligon's 的開羅香水以精緻的大馬士革玫瑰為特色，浸漬在豐富的木材和香料中。華麗而奢華的香味與藏紅花和熏香相呼應，據說是諸神，這款香味以廣藿香和香草為基調，營造出熟悉的黃昏氣息。,玫瑰花香調 、 木質調 、 辛辣調,玫瑰、藏紅花,香草、紙莎草 、勞丹脂,廣藿香、檀香木、雪松,https://www.1976.com.tw/prod/19492
Dior Homme Sport 男性淡香水(2022),"3,650","2,880",75ml (580076),活力而優雅，全新 Dior Homme Sport 將柑橘和香料的光芒與木質和琥珀的感性氣息相結合，充滿了“拳擊手上勾拳的衝擊力”。前味將檸檬的新鮮感包裹在香料中，並以木質香調和乳香四溢。乳香首次被添加到 Dior Homme Sport 的核心。,木質香調、乳香、琥珀,檸檬、佛手柑、醛,欖香、粉紅胡椒,,https://www.1976.com.tw/prod/19882
Issey Miyake 三宅一生一生之水男性淡香水 TESTER,"3,600","1,490",125ml 原廠環保紙盒包裝 ，無瓶蓋,最初是被他們家的瓶身吸引，看到網路評價也不錯，後來買了瓶送朋友，發現前味的柑橘調，連自己聞了都愛 ，三宅一生一生之水真的都不錯，男香女香都很讚，適合喜歡典雅內斂的朋友,木質清新調,香木緣、莞荽、柏樹、南歐丹蔘、柑桔、馬鞭草,藍水百合、番紅花、老鶴草、肉桂皮、荳蔻,麝香、中國柏樹、印度檀香、海地岩蘭草、琥珀煙草,https://www.1976.com.tw/prod/6575
Dior Homme Sport 男性淡香水 TESTER (2022),"4,900","3,150",125ml 原廠環保紙盒包裝，有瓶蓋,前調以滿滿的柑橘氣味為主，與醛感搭配相得益彰；搭配中調的承接，讓我感覺聞到了近似於岩玫瑰樹脂般辛辣振奮的樹脂感，但成份表沒有該原料；基調的部份則是帶有點木感皂香的堅果仁粉味．整體原料扣除了木質氣味外，多是以輕盈清新的氣味．雖然是主打Homme Sport，但也適合作為中性香，給走率性＆低奢路線的女性使用,木質香調、乳香、琥珀,檸檬、佛手柑、醛,欖香、粉紅胡椒,,https://www.1976.com.tw/prod/20559
Montblanc Legend 萬寶龍傳奇經典男性淡香水迷你瓶,500,260,4.5ml 抹式,前味聞起來稍有些嗆不過待一下中味散發出強烈的花香氣味時就有些振奮的感覺。瓶身很美，齒輪狀的瓶蓋配上方型黑色瓶子，超適合男生的！！！,柑苔調,薰衣草、山胡椒、卡拉布里亞佛手柑,橡苔、玫瑰花、蘋果、天竺葵,東加豆、檀香,https://www.1976.com.tw/prod/8687
Calvin Klein CK Contradiction 冰火相容男性淡香水,"3,200","1,180",100ml,我想只要是有獨特個性的人，一看到方正簡約的瓶身設計，不多言就被吸引了！買的第一瓶男香，當初是買來送男友。這款香水前味算濃郁，在冷氣房穿香氛很顯著！,木質清新調 、 東方清新調,柑橘、萊姆、薰衣草、霜葉,小荳蔻、胡荽、胡椒豆,黑檀木、檀香木、薄荷、維提味香草,https://www.1976.com.tw/prod/2548
Versace Eros Energy 凡賽斯愛神力量男性淡香精,"2,850","1,750",50ml,給人運動前檸檬水味的感覺，確實有那種充滿活力的感覺。適合白天的戶外體育活動、健身房和任何其他人們進行運動的地方。,,佛手柑、紅橙、萊姆、綠柑橘、葡萄柚、檸檬,粉紅胡椒、黑醋栗、白琥珀,廣藿香、麝香、櫟苔,https://www.1976.com.tw/prod/22211
Giorgio Armani Acqua di Gio Profondo 深邃寄情水男性淡香精(2024),"3,350","2,680",50ml,基調一聞很直接的就能跟原版白寄情串聯，有一種就是寄情水熟悉的味道的感受，但對比原版白寄情來說，深邃寄情前掉的果香更強烈一些，且中後調的木質和麝香也更濃厚，如果白寄情是青春洋溢的大學生，深邃寄情就是個有活力又可靠的上班族這種感受，擴散性比白寄情來的高些，且持香比白寄情長，很適合想給人活力和成熟達成一個完美平衡的輕熟上班族辦公室使用。,木質調 、 柑橘調 、 海洋清新調,海洋調、青柑橘,迷迭香、薰衣草,雪松木、廣藿香,https://www.1976.com.tw/prod/22026
HERMES 愛馬仕H24男性淡香水 TESTER,"5,150","2,060",100ml 原廠環保紙盒包裝，有瓶蓋,這瓶開頭有著類似檸檬/香茅那種淡淡的鼠尾草香氣，中尾調也相當舒服，有令人放鬆的感覺，一樣清新、不擾人。,草香清新調 、 木質清新調,快樂鼠尾草,水仙、玫瑰木、sclarene 分子,龍涎香,https://www.1976.com.tw/prod/19018
Versace Eros Energy 凡賽斯愛神力量男性淡香精迷你瓶,500,250,5ml,給人運動前檸檬水味的感覺，確實有那種充滿活力的感覺。適合白天的戶外體育活動、健身房和任何其他人們進行運動的地方。,,佛手柑、紅橙、萊姆、綠柑橘、葡萄柚、檸檬,粉紅胡椒、黑醋栗、白琥珀,廣藿香、麝香、櫟苔,https://www.1976.com.tw/prod/22212
Issey Miyake 三宅一生一生之水男性淡香水行動香氛,"1,350",799,15ml 噴式,前味是日本柚子 真的很特別！彷彿是躺在清晨有雨露的大草原上，旁邊開著一些野花 很自然 很舒服，後味得輕木質調慢慢浮現，很清香 跟體味慢慢融入在一起,木質清新調,香木緣、莞荽、柏樹、南歐丹蔘、柑桔、馬鞭草,藍水百合、番紅花、老鶴草、肉桂皮、荳蔻,麝香、中國柏樹、印度檀香、海地岩蘭草、琥珀煙草,https://www.1976.com.tw/prod/23154
Tous Man Sport 自我本色男性淡香水,"2,480","1,450",100ml,清爽的夏日香氣，比Channel homme sport 更有柑橘氣味，運動型男的日常穿搭非常適合。,,檸檬、醛香香引、雪松,青蘋果、薑、馬鞭草,橡樹苔、喀什米爾麝香、大西洋香柏木,https://www.1976.com.tw/prod/10132
Salvatore Ferragamo Homme 同名經典男性淡香水,"2,900","1,450",100ml,簡單的瓶身，不簡單且低調木質香氣，適合作為日常用的香水，柔軟又厚實的肥皂香，建議春天夏天用，如果你在尋找自己的招牌香水，可以試試看:D,木質清新調,黃色葡萄柚、 粉紅色葡萄柚、 無花果葉、櫻草、非洲天竺葵,小豆蔻、 苜蓿嫩芽,香根草、西洋杉、檀香、麝香,https://www.1976.com.tw/prod/14171
Dunhill Amalfi Citrus 頂級香氛 阿瑪菲柑橘男性淡香精,"4,650","2,480",100ml,香水噴出來的剎那是濃烈的檸檬味，數秒後苦橙、柑橘等清甜的味道便與檸檬中和，有存在感卻又具包容力。香水來到中味後，整體進入了開闊、沉靜的狀態，如溫帶針葉林清晨漸入亭午的潮濕氣息。綠茶與橙花帶領不過甜的茉莉花香，如高海拔樹林被陽光席捲，冷冽中滲入高雅的溫柔。後味帶來的草本與木質味使鼻息變得有重量，給人可靠、成熟、有厚度卻不嚴肅的氣質。此款香水的味道特別卻不突兀、和諧卻不容忽視，是款給人安定力量的香水。,茶香清新調 、 木質花香調 、 柑橘調,檸檬精油、苦橙、柑橘、佛手柑,迷迭香、小蒼蘭、綠茶、橙花、茉莉花瓣,香根草、琥珀木、麝香,https://www.1976.com.tw/prod/19564
Hermes H24 愛馬仕男性淡香水迷你瓶,800,560,5ml 抹式,一款芒果帶有點金屬的香氣，斯文現代好聞，個人認為被低估的香水之一。,草香清新調 、 木質清新調,快樂鼠尾草,水仙、玫瑰木、sclarene 分子,龍涎香,https://www.1976.com.tw/prod/19591
Gucci Guilty Absolute 罪愛絕對男性淡香精,"4,150","2,290",50ml,瓶身手感非常好，很像是威士忌隨身瓶 ，木質調已經夠穩重了，再加上廣藿香、 香根草，沉穩有餘，幸好皮革味帶來了一絲高級感，整個木頭不再單調，適合中年大叔，冬天專用。,木質調 、 皮革香調,皮革,廣藿香、絲柏,木質元素、香根草,https://www.1976.com.tw/prod/16069
Burberry 經典男性淡香水,"3,850","1,450",100ml,太棒了!不愧是1995年的經典款，維持一貫的清澈、清新、清涼木香，是一種一直都很時尚的味道，會忍不住想一直聞，適合休閒也可以正裝，百搭萬用款。,木質調 、 辛辣調,佛手柑、薰衣草、薄荷、麝香草,青苔、天竺葵、檀香木,琥珀、雪松木,https://www.1976.com.tw/prod/16398
Montblanc Legend Spirit 萬寶龍傳奇白朗峰男性淡香水,"1,950",800,30ml,是適合大約22-24歲，大學即將畢業或是初入社會的打工人的柑橘調香水，簡單的柑橘香，帶著一點點果香的清爽甜味（不是死甜），持香度冷氣房整天下來絕對沒問題！整體簡單溫暖，給人沈穩又不失活潑的大暖男的感覺，價位也很便宜，要當睡香也完全沒問題，睡前一小時提早噴，留著後調若隱若現的白麝香入睡真的超讚！,柑橘調,粉紅胡椒、佛手柑、葡萄柚,荳蔻、薰衣草,橡苔、白麝香、喀什米爾木,https://www.1976.com.tw/prod/13942
Hugo Boss 優客男性淡香水(2021),"3,300","1,450",125ml,很適合25歲上下的男生噴，聞起來很舒服，不會有侵略感，很適合洗完澡噴一下！也不挑場合（餐廳）、（運動）、（上班），都很合適。到後面味道會變得蠻成熟的，很適合約會完載女生回家給人的那種安心感～,木質清新調,青蘋果,薰衣草,松樹、木質調、冷杉,https://www.1976.com.tw/prod/20747
Issey Miyake Wood & Wood 一生之水木頭木頭男性淡香精,"2,600","1,480",50ml,"粉味十足的木+木的木質調,異常高濃度香味的前調,導致感覺粉味,胭脂味的香調,中調後是平穩,安全的男香,後調就是舒服的皂香基底,感覺粉粉的,看在具設計感十足的瓶身及木製瓶塞蓋,不愧是三宅一生的作品,也是一種視覺饗宴,可以試試,感覺中性化的香水",木質調 、 柑橘調,葡萄柚精華,雪松、檀香精華,廣藿香精華,https://www.1976.com.tw/prod/17281
Burberry Weekend 週末男性淡香水,"2,650","1,000",50ml,雖然是男香，但身為女生的我超愛這瓶，我喜歡每次噴在身上時舉手投足間瀰漫的淡淡清香。我尤其喜歡在雨天噴這瓶，會讓人有種放鬆的感覺。雖然我噴是用來取悅自己的，但是我認真的覺得如果一位男生身上散發出這種味道，我會覺得他是一位很親切又穩重的男生，會不自覺產生好感而想親近喔！,花果清新調,佛手柑、檸檬、橘子、葡萄柚,鳳梨、西瓜、長春藤、橡苔,麝香、瑪瑙、檀香木,https://www.1976.com.tw/prod/2520
Kenzo 風之戀男性淡香水,"2,100",850,30ml,我是女生但是自己也很喜歡這罐的味道，中後味舒服自然的味道，讓夏日裡的煩悶一掃而空，清新不做作！,花果清新調,日本檸檬、芳樟樹葉,水生薄荷、睡蓮葉,綠胡椒、白麝香,https://www.1976.com.tw/prod/2676
PRADA Infusion Iris Cèdre 鳶尾雪松精萃男性淡香精 (融雪松木)TESTER,"7,600","3,900",100ml 原廠環保紙盒包裝，有瓶蓋,一噴就喜歡上的味道，我一直不是很喜歡花香調的香味，但這瓶完全讓我改觀，清新優雅的氣味，很有質感，適合夏天，男女適用,木質花香調,橙花精油,鳶尾草、香根草、雪松,安息香、熏香,https://www.1976.com.tw/prod/13381
Montblanc Legend Spirit 萬寶龍傳奇白朗峰男性淡香水 TESTER,"3,500","1,150",100ml 原廠環保紙盒包裝，有瓶蓋,"剛噴時的味道是香甜的柑橘果香，像是為了一整日的奔忙做開場，
慢慢地會變成較為淡淡的果香，對於學生的我來說 ，
在上課時有助於集中精神 平靜思緒 。
最後的味道更淡，後香的味道 彷彿在為忙碌的一天做一個預備休息的結語。",柑橘調,粉紅胡椒、佛手柑、葡萄柚,荳蔻、薰衣草,橡苔、白麝香、喀什米爾木,https://www.1976.com.tw/prod/13943
Issey Miyake Wood & Wood 一生之水木頭木頭男性淡香精 TESTER,"3,600","1,650",100ml 原廠環保紙盒包裝，有瓶蓋,ISSEY MIYAKE三宅一生現在邀請您去體驗大自然的豐盈，準備好體驗雙重濃度的木頭,木質調 、 柑橘調,葡萄柚精華,雪松、檀香精華,廣藿香精華,https://www.1976.com.tw/prod/17651
Hugo Boss 優客男性淡香水(2021) TESTER,"3,300","1,150",125ml 原廠環保紙盒包裝，有瓶蓋,隨時散發出迷人的瀟灑的性格，適合在運動時使用或是夏天也好聞，是一款休閒型的香水,木質清新調,青蘋果,薰衣草,松樹、木質調、冷杉,https://www.1976.com.tw/prod/23220
Gucci Guilty Absolute 罪愛絕對男性淡香精隨身香氛,"1,200",680,8ml 噴式,"穿上它，給人一種成熟、內斂的印象。
木質香調，成熟卻不顯老氣。
留香時間約莫六個小時左右，上班前噴一下在脖子周圍，一直到下班，都還聞得到淡淡的味道。

會回購，甚至隨身攜帶，方便補香",木質調 、 皮革香調,皮革,廣藿香、絲柏,木質元素、香根草,https://www.1976.com.tw/prod/19732
