name,original_price,special_price,specification,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Mercedes Benz Select Night 賓士夜帝耀男性淡香精,"3,450","1,950",100ml,平常都買女香突然想買男香做了功課最後選到這隻，中了！有夠香哈哈哈哈佩服自己，有man有品味也因為名字有night確實夜晚會非常適合，但喜歡的味道什麼時候噴都行啦，並且白天使用也是不突兀的～很輕易穿戴的香水，推推，附帶一提喜歡高提耶裸男這隻就盲入吧！都超棒,東方調 、 辛辣調,佛手柑、荳蔻、薰衣草,雪松、癒創木、橙花,檀香、廣香、香草,https://www.1976.com.tw/prod/17764
Dunhill Desire Bronze 慾望古銅男性淡香水,"3,380","1,650",100ml,更成熟/中東的 PR 100 萬,,佛手柑、柑橘、黑胡椒,藏紅花、小荳蔻、橙花,香根草、沉香、琥珀,https://www.1976.com.tw/prod/22063
Montblanc Individuel 萬寶龍獨白男性淡香水 TESTER,"3,000",999,75ml 原廠環保紙盒包裝，無瓶蓋,萬寶龍六角白星匠心獨具的傑作，優雅獨特更顯不凡。,東方花香調,佛手柑、薄荷、芫荽,肉桂、天竺葵、薰衣草、茉莉,檀香、香草、岩蘭草、橡苔,https://www.1976.com.tw/prod/8490
Tommy Hilfiger Tommy 男性淡香水 TESTER,"2,750",980,100ml 原廠環保紙盒包裝，有瓶蓋,清新樹林香調，融入了很多很特別的元素， 像是太平洋陣雨、肯塔基州的六月禾、北美洲巨型仙人掌和懷俄明州的棉白楊等，成就這款清新活力的男香。,柑橘清新調 、 柑苔調,太平洋陣雨、葡萄柚、綠薄荷,小紅莓、肯塔基州的六月禾、蘋果派、北美洲巨型仙人掌、黃玫瑰香、薄荷,懷俄明州的棉白楊、漂流木、紅楓,https://www.1976.com.tw/prod/15415
John Varvatos XX搖滾系列 經典光芒男性淡香水,"4,230","1,850",125ml,有種煙燻感櫻桃果味咖啡微甜香，適合偏冷天及夜晚穿搭，瓶身依舊維持好看,木質東方調 、 誘人美食調,紅蘋果、黑加侖、小荳蔻,橙花、天竺葵、白色紫羅蘭,雪松木、檀木、咖啡,https://www.1976.com.tw/prod/18633
Bleu De Chanel 香奈兒藍色男性淡香水,"3,300","3,080",50ml,這是我的第一支香水，聞過他的味道之後，我就告訴我自己一定要買下這支。一開始有著迷人的柑橘香，卻不甜膩，到了中後期之後散發出令人心醉的成熟木質調，真的太完美了,粉紅胡椒、柑橘果香調、香根草,,葡萄柚、西洋杉、琥珀岩薔,乳香、生薑、檀香木,https://www.1976.com.tw/prod/7826
Giorgio Armani Code 男性淡香精版本,"4,150","2,880",75ml,ARMANI CODE PARFUM 向改寫陽剛之道的男士傾訴，一種充滿魅力的新誘惑，一種優雅的自信，一種真實的自我表達。,東方清新調,綠柑橘,肉荳蔻,零陵香豆,https://www.1976.com.tw/prod/22630
Coach Green 時尚都會男性淡香水,"1,850",900,40ml,完美還原了奇異果的味道，感覺就像真的奇異果汁液濺在身上的感覺，很清新。如果喜歡奇異果的人可以試試,木質清新調,奇異果、佛手柑,迷迭香、天竺葵,水晶苔蘚、雪松,https://www.1976.com.tw/prod/20995
John Varvatos XX搖滾系列 經典光芒男性淡香水 TESTER,"4,230","1,399",125ml 原廠環保紙盒包裝，有瓶蓋,確實有PACO ROBANE LUCKY的感覺，但是沒有那麼甜，個人覺得比較好穿，適合在夜場所使用。,木質東方調 、 誘人美食調,紅蘋果、黑加侖、小荳蔻,橙花、天竺葵、白色紫羅蘭,雪松木、檀木、咖啡,https://www.1976.com.tw/prod/20656
【身體系列】Jean Paul Gaultier Le Male 高堤耶裸男洗髮沐浴精,"1,350",950,200ml 無盒裝,適用於頭髮和身體的沐浴露。溫和清潔，帶來清新純淨的感受，讓肌膚保持濕潤，散發出淡淡的芬芳。,,,,,https://www.1976.com.tw/prod/6978
Prada L'Homme Intense 男性淡香精,"5,150","3,600",100ml,以皮革和廣藿香烘托原有的鳶尾和琥珀香味的香水，加入東方氣息濃郁，層次多元.令人著迷的沉穩男香.,木質東方調 、 東方花香調 、 皮革香調,鳶尾花,廣藿香、琥珀,皮革、頓加豆、檀香,https://www.1976.com.tw/prod/15456
Issey Miyake Intense 一生之水極緻男性淡香水,"3,600","2,160",125ml,自己買的第一瓶香水，前味有點小清新，中後的味道真的是非常好聞，朋友都問我是哪瓶香水。,,中國柑橘、佛手柑、柚子、甜橙,樟腦、小荳蔻、錫蘭肉桂、肉豆蔻、番紅花、睡蓮,檀香、岩蘭草、廣藿香、龍涎香,https://www.1976.com.tw/prod/4965
Giorgio Armani Code PARFUM 男性香精,"4,650","3,250",75ml,ARMANI CODE PARFUM 向改寫陽剛之道的男士傾訴，一種充滿魅力的新誘惑，一種優雅的自信，一種真實的自我表達。,木質調,佛手柑、佛手柑葉,鳶尾花、鳶尾根、醛、快樂鼠尾草,零陵香豆、雪松,https://www.1976.com.tw/prod/21229
Jimmy Choo 同名男性淡香水,"3,850","1,550",100ml,在國外一直是Game Of Thrones的影迷，對於劇中的John Snow所代言的香水，當然也是很有興趣。直到有天逛街時有機會試香，一聞到就感到驚為天人，這種內斂又脫俗的男香，不帶有攻擊性的包圍住你的四週，溫暖，卻又性感。聰明的挑逗著你每一個細胞。在1976上買了小香來收藏，之後也想來送給身邊富有魅力的男生們。,木質調,薰衣草、柑橘、蜜瓜,粉紅胡椒、天竺葵、菠蘿葉,廣霍香、麂皮、琥珀木,https://www.1976.com.tw/prod/12147
Ferrari Scuderia Red 紅色法拉利男性淡香水,"2,250",950,125ml,屬於清淡的男人味，想表現man感，不考慮中性香，希望香氣持久，又不想讓人覺得噴香水噴很重，這瓶是滿好的選擇。,柑橘清新調,柑橘、香橙、綠薄荷、馬鞭草,茉莉、天竺葵、肉豆蔻、檀香木,麝香、香草、西洋杉,https://www.1976.com.tw/prod/2661
Montblanc Individuel Tonic 萬寶龍獨白通寧男性淡香水 TESTER,"3,000","1,050",75ml 原廠環保紙盒包裝，無瓶蓋,剛開始聞的時候，覺得有點嗆一開始會有點不習慣，但到了中後味整個味道都起來了！萬寶龍隱藏版的獨特香水，非常少見絕不撞香！,木質東方調 、 東方花香調,小荳蔻、鳳梨,天竺葵、雪松,檀香、麝香,https://www.1976.com.tw/prod/20047
Coach Green 時尚都會男性淡香水迷你瓶,600,300,4.5ml 抹式,美國時尚品牌COACH受紐約市緊湊卻充滿各種能量所啟發，希望創造出一款香氛，透過香氣軌跡引領人們到達充滿綠意的世外桃源，將大自然的放鬆與和諧以香水方式呈現，反覆調配後誕生出了–COACH MAN GREEN 時尚都會淡香水。,木質清新調,奇異果、佛手柑,迷迭香、天竺葵,水晶苔蘚、雪松,https://www.1976.com.tw/prod/20996
HUGO BOSS Dark Blue 深藍優客男性淡香水,"2,300","1,350",75ml,"很像Boss Orange For Men般香草的味道，也有Versace Blue Jeans可樂的感覺!
整題而言是偏甜的木質調!",木質清新調,印度酸橙、 馬拉巴爾生薑,柏木、 鼠尾草,小山羊皮、安息香、乳香、廣藿香,https://www.1976.com.tw/prod/4683
