note,class
火药,皮革香调
Safraleine（藏红花香）,皮革香调
蹄兔香,皮革香调
Civetone（动物香调）,皮革香调
火焰能量,皮革香调
熔岩,皮革香调
Suederal（麂皮香调）,皮革香调
俄罗斯茶,皮革香调
小羊皮,皮革香调
焦糖,美食香调
蜂蜜,美食香调
杏仁,美食香调
果仁糖,美食香调
咖啡,美食香调
可可,美食香调
糖,美食香调
奶油（奶油泡芙）,美食香调
甘草,美食香调
牛奶,美食香调
榛子,美食香调
巧克力,美食香调
棉花糖,美食香调
开心果,美食香调
棉花糖,美食香调
大米,美食香调
红糖,美食香调
太妃糖,美食香调
美食香调,美食香调
蜂蜡,美食香调
杏仁奶,美食香调
栗子,美食香调
芝麻,美食香调
黑巧克力,美食香调
核桃,美食香调
甘蔗,美食香调
太妃苹果糖,美食香调
麦芽醇（果仁糖）,美食香调
白巧克力,美食香调
糖果,美食香调
枫糖浆,美食香调
糖衣杏仁,美食香调
海盐焦糖,美食香调
卡布奇诺咖啡,美食香调
马卡龙,美食香调
姜饼,美食香调
杏仁酒,美食香调
烤杏仁,美食香调
热牛奶,美食香调
黄油,美食香调
谷类,美食香调
法式甜點,美食香调
爆米花,美食香调
蛋白糖,美食香调
蜜饯,美食香调
牛奶焦糖酱,美食香调
冰淇淋,美食香调
小麦,美食香调
咖啡（阿拉比卡）,美食香调
焦糖布丁,美食香调
杏仁糕,美食香调
可口可乐,美食香调
泡泡糖,美食香调
饼干,美食香调
提拉米苏香调,美食香调
大麦,美食香调
纸杯蛋糕,美食香调
土耳其软糖,美食香调
夏威夷果,美食香调
麸,美食香调
可可脂,美食香调
麦芽,美食香调
糖渍橙子,美食香调
奶油苏打,美食香调
玛德琳蛋糕香调,美食香调
牛奶巧克力,美食香调
牛奶慕斯,美食香调
牛轧糖,美食香调
糖渍栗子,美食香调
炼乳,美食香调
面粉（蛋糕）,美食香调
面包,美食香调
意式奶冻,美食香调
南瓜,美食香调
苦巧克力,美食香调
曲奇香调,美食香调
花粉,美食香调
巧克力（吉安杜佳）,美食香调
奶油硬糖,美食香调
花生,美食香调
米浆,美食香调
拿铁咖啡,美食香调
布里欧修面包//法式黄油面包,美食香调
蛋奶冻,美食香调
奶油乳酪,美食香调
哈尔瓦蜜糕,美食香调
黑麦,美食香调
咖啡（土耳其）,美食香调
咖啡（哥伦比亚）,美食香调
蒂拉米松,美食香调
啤酒,美食香调
芝士,美食香调
可露丽香调,美食香调
鹰嘴豆,美食香调
烘烤香调,美食香调
腰果,美食香调
百利甜酒,美食香调
葡萄醋,美食香调
印度冰淇淋,美食香调
蜂蜜酒,美食香调
布雷谢,美食香调
糯米团,美食香调
可乐果,美食香调
烤乳木果,美食香调
冰冻酸奶的乐趣,美食香调
小豆子,美食香调
咖啡酒类,美食香调
软糖,美食香调
Buckwheat Accord,美食香调
Walnut Milk,美食香调
茉莉,花香调
玫瑰,花香调
橙花,花香调
鸢尾花,花香调
紫罗兰,花香调
铃兰,花香调
依兰,花香调
小苍兰,花香调
牡丹,花香调
晚香玉,花香调
木兰,花香调
茉莉（阿拉伯茉莉）,花香调
天芥菜,花香调
栀子花,花香调
玫瑰（土耳其）,花香调
花香调,花香调
玫瑰（保加利亚）,花香调
桂花,花香调
百合,花香调
兰花,花香调
金合欢,花香调
莲花,花香调
康乃馨,花香调
仙客来,花香调
睡莲,花香调
黑檀红木,花香调
玫瑰（格拉斯）,花香调
鸡蛋花,花香调
金银花,花香调
千叶玫瑰,花香调
大马士革玫瑰,花香调
茉莉（埃及）,花香调
蒂亚蕾花,花香调
紫丁香,花香调
白色花卉,花香调
风信子,花香调
水仙,花香调
脂粉香调,花香调
茶,花香调
阳光香调,花香调
红茶,花香调
樱花,花香调
希蒂莺（淡雅茉莉香）,花香调
胡萝卜籽,花香调
鸢尾花（佛罗伦萨/托斯卡纳）,花香调
桃花,花香调
玫瑰花瓣,花香调
苹果花,花香调
茉莉（印度）,花香调
白茶,花香调
山楂,花香调
玫瑰（摩洛哥）,花香调
茉莉（格拉斯）,花香调
茉莉（虎头兰）,花香调
木槿,花香调
杏花,花香调
棉花,花香调
金雀花,花香调
菩提花,花香调
水仙花,花香调
紫藤,花香调
